Região;Local;Longitude;Latitude;Referência;;;;;;;;;;;;;;;;;
América do Sul;    el quinche;-78,18;-0,07; Rafael V. et al. (2000); Ecologia y distribucion del ge ...;;;;;;;;;;;;;;;;
América do Sul;    pichincha;-75,21;-0,45; Acurio A. and Rafael V. (2009); Diversity and geographical dis ...; Rafael V. and Vela D. (2000); Drosophila distribution in Ecu ...;;;;;;;;;;;;;;
América do Sul;    montecristi;-80,39;-1,05; Rafael V. (2007); Drosophila malerkotliana y Zap ...;;;;;;;;;;;;;;;;
América do Sul;    belem;-48,29;-1,27; da Cunha A.B. (1949); Genetic analysis of the polymo ...;;;;;;;;;;;;;;;;
América do Sul;    belem;-48,29;-1,27; da Cunha A.B. (1951); Contribuicao ao estudo do poli ...; Dobzhansky D. and Brito da Cunha A. (1955); Differentiation of nutritional ...; Pavan C. (1952); Relacoes entre populacoes natu ...; Pavan C. (1959); Relacoes entre populacoes natu ...;;;;;;;;;;
América do Sul;    manabi;-80,3;-1,3; Acurio A. and Rafael V. (2009); Diversity and geographical dis ...;;;;;;;;;;;;;;;;
América do Sul;    simon bolivar;-79,55;-2,13; Rafael V. et al. (2000); El Genero Drosophila en tres p ...;;;;;;;;;;;;;;;;
América do Sul;    guayas;-80,17;-2,16; Acurio A. and Rafael V. (2009); Diversity and geographical dis ...; Rafael V. and Vela D. (2000); Drosophila distribution in Ecu ...;;;;;;;;;;;;;;
América do Sul;    fordlandia;-55,3;-3,4; Pavan C. (1952); Relacoes entre populacoes natu ...; Pavan C. (1959); Relacoes entre populacoes natu ...;;;;;;;;;;;;;;
América do Sul;    iquitos;-73,13;-3,51; Suyo T. M.P. et al. (1983); Analisis de la genitalia exter ...;;;;;;;;;;;;;;;;
América do Sul;ponta do caximbo;-53,15;-4,2; Napp M. and Cordeiro A.R. (1978); Genetic variability and disequ ...; Brncic D. and Valente V.L.S. (1978); Dinamica das comunidades de Dr ...; Castro F.L. and Valente V.L.S. (2001); Zaprionus indianus is invading ...; Garcia A.C. et al. (2008); Two decades of colonization of ...; Rohde C. and Valente V.L.S. (1996); Cytological maps and chromosom ...; Rohde C. and Valente V.L.S. (1996); Ecological characteristics of ...; Yoon J.S. (1984); Drosophila species stock list ...; Yoon J.S. (1990); Drosophila species stock list ...; Yoon Z. (1996); Stock List. National Drosophil ...
América do Sul;    tabuleiro;-58,25;-5,03; Brisson J.A. et al. (2005); Abdominal pigmentation variati ...;;;;;;;;;;;;;;;;
América do Sul;    canto da lagoa;-36,5;-5,04; de Toni D.C. et al. (2001); Chromosomal variability of Dro ...;;;;;;;;;;;;;;;;
América do Sul;    imperatriz;-47,28;-5,32; Pavan C. (1952); Relacoes entre populacoes natu ...; Pavan C. (1959); Relacoes entre populacoes natu ...;;;;;;;;;;;;;;
América do Sul;    chacara santa monica;-50,01;-8; Vilela C.R. (1999); Is Zaprionus indianus Gupta 1 ...; Vilela C.R. (2001); Breeding sites of Neotropical ...;;;;;;;;;;;;;;
América do Sul;    urucu;-35;-8,17; Prudente A.L. da Costa et al. (2008); Fauna. In: Biodiversidade na P ...;;;;;;;;;;;;;;;;
América do Sul;    colcap;-78,04;-8,58; Pilares G. L.V. et al. (1981); Distribucion del genero Drosop ...;;;;;;;;;;;;;;;;
América do Sul;    peru;-75;-10; Pilares G.L. and Suyo M.P. (1982); Distribution of different spec ...; Pilares G. L.V. and vasquez E. J.A. (1977); Especies del genero Drosophila ...;;;;;;;;;;;;;;
América do Sul;    brazil;-50;-10; Dobzhansky T. (1949); Genetic structure of natural p ...; Mourao C.A. et al. (1965); Duas novas especies de Drosoph ...;;;;;;;;;;;;;;
América do Sul;    palmares;-67,43;-10,22; Pavan C. (1952); Relacoes entre populacoes natu ...; Pavan C. (1959); Relacoes entre populacoes natu ...;;;;;;;;;;;;;;
América do Sul;    la merced/peru;-75,16;-11,03; Pilares G. L.V. and vasquez E. J.A. (1977); Especies del genero Drosophila ...;;;;;;;;;;;;;;;;
América do Sul;    cafarnaum/ba;-41,2;-11,3; Sene F.M. et al. (1980); Preliminary data on the geogra ...; Vilela C.R. et al. (2002); Preliminary data on the geogra ...;;;;;;;;;;;;;;
América do Sul;    serrinha;-38,56;-11,38; Brisson J.A. et al. (2005); Abdominal pigmentation variati ...;;;;;;;;;;;;;;;;
América do Sul;    mira serra/ba;-40,53;-11,46; Sene F.M. et al. (1980); Preliminary data on the geogra ...; Vilela C.R. et al. (2002); Preliminary data on the geogra ...;;;;;;;;;;;;;;
América do Sul;    piritiba/ba;-40,45;-11,47; Sene F.M. et al. (1980); Preliminary data on the geogra ...; Vilela C.R. et al. (2002); Preliminary data on the geogra ...;;;;;;;;;;;;;;
;Barreiras;-45,15;-12,06;;;;;;;;;;;;;;;;;;
América do Sul;    barreiras/ba;-45,05;-12,07; Chaves N.B. and Tidon R. (2008); Biogeographical aspects of dro ...; Sene F.M. et al. (1980); Preliminary data on the geogra ...; Vilela C.R. et al. (2002); Preliminary data on the geogra ...;;;;;;;;;;;;
América do Sul;    ibotirama/ba;-43,07;-12,18; Sene F.M. et al. (1980); Preliminary data on the geogra ...; Vilela C.R. et al. (2002); Preliminary data on the geogra ...;;;;;;;;;;;;;;
América do Sul;    cachoeira/monteiros/ba;-51,38;-12,25; Sene F.M. et al. (1980); Preliminary data on the geogra ...; Vilela C.R. et al. (2002); Preliminary data on the geogra ...;;;;;;;;;;;;;;
América do Sul;    milagres/ba;-39,53;-12,51; Vilela C.R. et al. (2002); Preliminary data on the geogra ...;;;;;;;;;;;;;;;;
América do Sul;    parana/to;-47,37;-12,52; da Mata R.A. et al. (2008); Drosophilids (Insecta Diptera ...;;;;;;;;;;;;;;;;
América do Sul;    salvador/brazil;-38,29;-12,58; Malogolowkin C. (1951); Drosophilideos colhidos na Bah ...; Pavan C. (1952); Relacoes entre populacoes natu ...; Pavan C. (1959); Relacoes entre populacoes natu ...;;;;;;;;;;;;
;Vale do Paranã;-46,46;-13,36;;;;;;;;;;;;;;;;;;
;Vale do Paranã;-46,45;-13,39;;;;;;;;;;;;;;;;;;
América do Sul;    cavalcante/go;-47,3;-13,48; Chaves N.B. and Tidon R. (2008); Biogeographical aspects of dro ...;;;;;;;;;;;;;;;;
América do Sul;    tangara da serra/mg;-57,03;-14,04; Blauth M.L. and Gottschalk M.S. (2007); A novel record of Drosophilida ...;;;;;;;;;;;;;;;;
;Vale do Paranã;-46,43;-14,3;;;;;;;;;;;;;;;;;;
América do Sul;    sao joao da alinanca/go;-47,3;-14,36; Chaves N.B. and Tidon R. (2008); Biogeographical aspects of dro ...;;;;;;;;;;;;;;;;
;São João da Aliança;-47,3;-14,46;;;;;;;;;;;;;;;;;;
América do Sul;    fazenda trijuncao/ba;-45,58;-14,49; Roque F. and Tidon R. (2008); Eight new records of drosophil ...;;;;;;;;;;;;;;;;
América do Sul;    ilheus;-39,06;-14,5; Pavan C. (1952); Relacoes entre populacoes natu ...; Pavan C. (1959); Relacoes entre populacoes natu ...;;;;;;;;;;;;;;
América do Sul;    san antonio/bolivia;-64,37;-14,54; Bachli G. et al. (2000); Morphological differences amon ...;;;;;;;;;;;;;;;;
América do Sul;    sarampioni;-75;-15; Bachli G. et al. (2000); Morphological differences amon ...;;;;;;;;;;;;;;;;
América do Sul;    monjolinho;-50;-15; da Cunha A.B. (1949); Genetic analysis of the polymo ...; da Cunha A.B. (1951); Contribuicao ao estudo do poli ...; Pavan C. (1952); Relacoes entre populacoes natu ...; Pavan C. (1959); Relacoes entre populacoes natu ...; Pavan C. et al. (1950); Diurnal behavior of some Neotr ...;;;;;;;;
América do Sul;    sobradinho/df;-47,47;-15,37; Roque F. et al. (2009); Breeding sites of drosophilids ...;;;;;;;;;;;;;;;;
;Planaltina;-47,29;-15,39;;;;;;;;;;;;;;;;;;
América do Sul;    braganca/brazil;-48;-15,4; Pavan C. (1952); Relacoes entre populacoes natu ...; Pavan C. (1959); Relacoes entre populacoes natu ...;;;;;;;;;;;;;;
América do Sul;    brasilia park;-47,54;-15,4; Tidon R. (2006); Relationships between drosophi ...; Chaves N.B. and Tidon R. (2008); Biogeographical aspects of dro ...;;;;;;;;;;;;;;
;Centro Olímpico UnB ;-47,5;-15,46;;;;;;;;;;;;;;;;;;
;Brasília;-47,57;-15,47;;;;;;;;;;;;;;;;;;
América do Sul;    brasilia/df;-47,59;-15,47; Chaves N.B. and Tidon R. (2008); Biogeographical aspects of dro ...; Dobbin B.F. and Tidon R. (2004); Newly invading species exploit ...; Ferreira L.B. and Tidon R. (2005); Colonizing potential of Drosop ...; Sene F.M. et al. (1980); Preliminary data on the geogra ...; Vilela C.R. et al. (2002); Preliminary data on the geogra ...; Cahaves N.B. and Tidon R. (2005); Drosophilidae of the Brazilian ...;;;;;;
América do Sul;    jbb/df;-47,5;-15,55; Chaves N.B. and Tidon R. (2008); Biogeographical aspects of dro ...;;;;;;;;;;;;;;;;
;RECOR;-47,52;-15,55;;;;;;;;;;;;;;;;;;
América do Sul;    recor reserve;-47,53;-15,56; Leao B F.D. and Tidon R. (2004); Newly invading species exploit ...; Tidon R. (2006); Relationships between drosophi ...; Chaves N.B. and Tidon R. (2008); Biogeographical aspects of dro ...;;;;;;;;;;;;
;RECOR ;-47,52;-15,56;;;;;;;;;;;;;;;;;;
América do Sul;    catuni;-43,19;-16,15; Pavan C. (1952); Relacoes entre populacoes natu ...; Pavan C. (1959); Relacoes entre populacoes natu ...;;;;;;;;;;;;;;
América do Sul;    anapolis;-48,58;-16,19; Pavan C. (1952); Relacoes entre populacoes natu ...; Pavan C. (1959); Relacoes entre populacoes natu ...; Chaves N.B. and Tidon R. (2008); Biogeographical aspects of dro ...;;;;;;;;;;;;
América do Sul;    grao mogol;-42,5;-16,32; Tidon-Sklorz R. and de Melo Sene F. (1995); Fauna of Drosophila (Diptera ...; Chaves N.B. and Tidon R. (2008); Biogeographical aspects of dro ...;;;;;;;;;;;;;;
América do Sul;    montes claros;-43,52;-16,45; Heed W.B. (1963); Density and distribution of Dr ... ; Heed W.B. and Blake P.R. (1963); A new color allele at the e lo ...; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...; Throckmorton L.H. (1962); The Problem of Phylogeny in th ...;;;;;;;;;;
América do Sul;    paracatu/mg;-46,52;-17,14; Chaves N.B. and Tidon R. (2008); Biogeographical aspects of dro ...;;;;;;;;;;;;;;;;
;Paracatu;-47,16;-17,24;;;;;;;;;;;;;;;;;;
;Paracatu;-47,2;-17,29;;;;;;;;;;;;;;;;;;
;Paracatu;-47,09;-17,33;;;;;;;;;;;;;;;;;;
América do Sul;    catalao/go;-47,38;-17,33; Chaves N.B. and Tidon R. (2008); Biogeographical aspects of dro ...;;;;;;;;;;;;;;;;
;Paracatu;-47,08;-17,34;;;;;;;;;;;;;;;;;;
;Catalão;-47,28;-17,38;;;;;;;;;;;;;;;;;;
América do Sul;    emas/go;-52,53;-18,15; Roque F. and Tidon R. (2008); Eight new records of drosophil ...;;;;;;;;;;;;;;;;
América do Sul;    corumba;-57,35;-19; Stalker H.D. (1953); Taxonomy and hybridization in ...;;;;;;;;;;;;;;;;
América do Sul;    serra do cipo/mg;-43,4;-19; Chaves N.B. and Tidon R. (2008); Biogeographical aspects of dro ...;;;;;;;;;;;;;;;;
;Serra do Cipó;-43,35;-19,16;;;;;;;;;;;;;;;;;;
América do Sul;    serra do cipo;-43,35;-19,17; Tidon-Sklorz R. et al. (1994); The genus Drosophila (Diptera ...; Vilela C.R. and Mori L. (1999); The genus Drosophila (Diptera;;;;;;;;;;;;;;
;Serra do Cipó;-43,34;-19,17;;;;;;;;;;;;;;;;;;
;Serra do Cipó;-43,33;-19,17;;;;;;;;;;;;;;;;;;
;Serra do Cipó;-43,33;-19,2;;;;;;;;;;;;;;;;;;
;Serra do Cipó;-43,38;-19,21;;;;;;;;;;;;;;;;;;
América do Sul;    rio doce;-40,3;-19,3; Dobzhansky D. and Brito da Cunha A. (1955); Differentiation of nutritional ...;;;;;;;;;;;;;;;;
;Lagoa Santa;-43,55;-19,38;;;;;;;;;;;;;;;;;;
