Região;Local;Longitude;Latitude;Referência;;;;;;;;;
Asia;     kochi;133,32;33,33; Carracedo M.C. et al. (1987); Sexual isolation between Droso ... ; Ohnishi S. and Kawanishi M. (1981); The Sexcomb of Drosophila simu ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... ; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;
Asia;     nankoku;133,37;33,33; Itoh M. et al. (2003); A further study on the expansi ... ;;;;;;;;
Asia;     dazaifu;130,29;33,32; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Asia;     shonai;131,3;33,3; Itoh M. et al. (2003); A further study on the expansi ... ;;;;;;;;
Asia;     ozu;132,33;33,3; Watada M. et al. (2000); Predominance of two colonizing ... ;;;;;;;;
Asia;     misaki;132,08;33,27; Watada M. et al. (2000); Predominance of two colonizing ... ;;;;;;;;
Asia;     yawatahama;132,24;33,27; Watada M. et al. (2000); Predominance of two colonizing ... ;;;;;;;;
Asia;     hijikawa;132,36;33,26; Watada M. et al. (2000); Predominance of two colonizing ... ;;;;;;;;
Asia;     tosu;130,29;33,24; Ohnishi S. and Kawanishi M. (1981); The Sexcomb of Drosophila simu ... ; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;;;;;
Asia;     hiyoshi;132;33,2; Watada M. et al. (2000); Predominance of two colonizing ... ; Watada M. et al. (2000); Predominance of two colonizing ... ; Watada M. et al. (2000); Predominance of two colonizing ... ;;;;
Asia;     beppu;131,3;33,18; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Asia;     saga;130,18;33,16; Inoue Y. (1988); Chromosomal mutation in Drosop ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;
Asia;     muroto;134,1;33,16; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Asia;     oita;131,36;33,15; Inoue Y. (1988); Chromosomal mutation in Drosop ... ; Inoue Y. et al. (1990); Natural and laboratory hybridi ... ; Kawanishi M. and Watanabe T.K. (1980); Genetic variations of courtshi ... ; Kawanishi M. and Watanabe T.K. (1981); Genes affecting courtship song ... ; Lee W.H. (1978); Temperature sensitive viabilit ... 
Asia;     uwajima;132,32;33,13; Watada M. et al. (1986); Expansion of Drosophila simula ... ; Watada M. et al. (2000); Predominance of two colonizing ... ;;;;;;
Asia;     kubokawa;133,09;33,13; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Asia;     hachijojima;139,48;33,05; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;;;;;;;
Asia;     tanushimaru;130;33; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Asia;     sukumo;132,42;32,59; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;;;;;;;
Asia;     saiki;131,51;32,58; Ohnishi S. and Kawanishi M. (1981); The Sexcomb of Drosophila simu ... ; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;;;;;
Asia;     kumamoto;130,42;32,5; Ohnishi S. and Kawanishi M. (1981); The Sexcomb of Drosophila simu ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... ; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;;;
Africa;     beni mellal;-6,26;32,48; Capy P. et al. (1990); Active mariner transposable el ... ;;;;;;;;
Asia;     shimabara;130,2;32,48; Watada M. et al. (1986); Genetic differenciation in Jap ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;
Asia;     nagasaki;129,52;32,45; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Asia;     jammu;74,54;32,43; Das A. et al. (1995); Mating propensity of Indian Dr ... ;;;;;;;;
Asia;     kuchinotsu;130,1;32,38; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;;;;;;;
Asia;     izumi;130,2;32,02; Ohnishi S. and Kawanishi M. (1981); The Sexcomb of Drosophila simu ... ; Watada M. et al. (1986); Genetic differenciation in Jap ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... ; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;
Asia;     kobayashi;130,58;32; Itoh M. et al. (2003); A further study on the expansi ... ;;;;;;;;
Asia;     seihi;131;32; Itoh M. et al. (2003); A further study on the expansi ... ;;;;;;;;
Asia;     miyazaki;131,27;31,56; Inoue Y. (1988); Chromosomal mutation in Drosop ... ; Ohnishi S. and Kawanishi M. (1981); The Sexcomb of Drosophila simu ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... ; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;
Africa;     marrakech;-8;31,49; Biemont C. et al. (2003); Worldwide distribution of tran ... ; Chakir M. et al. (2002); Phenotypic plasticity of adult ... ; Chakir M. et al. (2002); Male sterility thermal thresho ... ; Chakir M. et al. (2007); Phenotypic variability of wild ... ; Chakir M. et al. (2008); Quantitative morphological ana ... 
Asia;     kagoshima;130,32;31,37; Ohnishi S. and Kawanishi M. (1981); The Sexcomb of Drosophila simu ... ; Watada M. et al. (1986); Genetic differenciation in Jap ... ; Watada M. et al. (1986); Genetic differentiation in Jap ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... ; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... 
Africa;     balteem;31,05;31,34; El-Adl A.M. et al. (1981); Isozyme polymorphism in Drosop ... ; El-Abidin Salam A.Z et al. (1982); Isozyme polymorphism in Drosop ... ;;;;;;
Africa;     essaouira;-9,48;31,3; Prevosti A. (1974); Chromosomal inversion polymorp ... ;;;;;;;;
Africa;     abu-sir;30,55;31,15; Dobzhansky T. et al. (1957); Collection of Drosophila speci ... ; Mourad A.M. and Mallah G.S. (1960); Chromosomal polymorphism in Eg ... ;;;;;;
Africa;     asni;-7,55;31,14; Prevosti A. (1974); Chromosomal inversion polymorp ... ;;;;;;;;
Africa;     alexandria/egypt;29,55;31,13; Ali A.M.M. and El-Helw M.R. (1974); Differences in the yeasts pref ... ; Baba-Aissa F. et al. (1988); Mitochondrial DNA variability ... ; Bachli G. et al. (1982); Drosophila subobscura in Egypt ... ; Beardmore J.A. (1973); Genetic studies of polymorphic ... ; Burla H. and Bachli G. (1978); Collecting Drosophila in Egypt ... 
Asia;     shanghai;121,25;31,13; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Africa;     janakleese;30;31,1; Abou-Youssef A.Y. et al. (1983); Seasonal fluctuations of ester ... ; Masry A.M. et al. (1983); The evolutionary changes of th ... ; Masry A.M. et al. (1984); The evolutionary changes of th ... ; Abou-Youssef A.Y. et al. (1983); Seasonal fluctuations of ester ... ;;
Africa;     manzala;31,56;31,1; El-Abidin Salam A.Z et al. (1981); Isozyme polymorphism in Drosop ... ; El-Abidin Salam A.Z et al. (1982); Isozyme polymorphism in Drosop ... ;;;;;;
Africa;     el-arish;33,48;31,07; El-Adl A.M. et al. (1981); Isozyme polymorphism in Drosop ... ; El-Abidin Salam A.Z et al. (1982); Isozyme polymorphism in Drosop ... ;;;;;;
Africa;     abo-hommos;31,19;31,06; El-Abidin Salam A.Z et al. (1981); Isozyme polymorphism in Drosop ... ; El-Abidin Salam A.Z et al. (1982); Isozyme polymorphism in Drosop ... ;;;;;;
Africa;     mansura;31,23;31,03; Bachli G. et al. (1982); Drosophila subobscura in Egypt ... ; Burla H. and Bachli G. (1978); Collecting Drosophila in Egypt ... ; ZMZ Collection (1985); Zoologisches Museum Universita ... ;;;;
Asia;     tanegashima;131;31; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;;;;;;;
Africa;     mahalla-el-kubra;31,1;30,59; Dawood M.M. (1961); The genetic load in the second ... ; Dobzhansky T. et al. (1957); Collection of Drosophila speci ... ; Mourad A.M. and Mallah G.S. (1960); Chromosomal polymorphism in Eg ... ; Mourad A.M. et al. (1957); Frequency of heterozygous inve ... ;;
Asia;     datong;117,4;30,53; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Africa;     gianaclis;30,09;30,51; Capy P. et al. (1993); Phenotypic and genetic variabi ... ;;;;;;;;
Africa;     tanta;31;30,48; Biemont C. et al. (2003); Worldwide distribution of tran ... ; Kopp A. et al. (2006); Historical biogeography of Dro ... ; Nardon C. et al. (2005); Is genome size influenced by c ... ; El-Abidin Salam A.Z et al. (1981); Isozyme polymorphism in Drosop ... ; El-Abidin Salam A.Z et al. (1982); Isozyme polymorphism in Drosop ... 
Africa;     esmaeilia;32,16;30,35; El-Abidin Salam A.Z et al. (1981); Isozyme polymorphism in Drosop ... ; El-Abidin Salam A.Z et al. (1982); Isozyme polymorphism in Drosop ... ;;;;;;
Asia;     wuhan;114,19;30,35; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Africa;     agadir;-9,36;30,26; Capy P. et al. (1990); Active mariner transposable el ... ; Capy P. et al. (1992); Sequence Analysis of Active ma ... ; Chakrani F. et al. (1993); Developmental temperature and ... ; Charlat S. et al. (2003); Characterization od non-cytopl ... ; ZMZ Collection (1985); Zoologisches Museum Universita ... 
Asia;     yakushima;130,3;30,2; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Asia;     hangzhou;120,07;30,18; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Africa;     admin;-9,3;30,15; Prevosti A. (1974); Chromosomal inversion polymorp ... ;;;;;;;;
Africa;     cairo;31,15;30,03; Bachli G. et al. (1982); Drosophila subobscura in Egypt ... ; Ballard J.W.O. (2004); Sequential Evolution of a Symb ... ; Burla H. and Bachli G. (1978); Collecting Drosophila in Egypt ... ; ZMZ Collection (1985); Zoologisches Museum Universita ... ; Khishin A.F. (1956); Drosophila in Egypt. ... 
Africa;     domiat;30;30; El-Adl A.M. et al. (1981); Isozyme polymorphism in Drosop ... ; El-Abidin Salam A.Z et al. (1982); Isozyme polymorphism in Drosop ... ; Dawood M.M. (1961); The genetic load in the second ... ; Dobzhansky T. et al. (1957); Collection of Drosophila speci ... ; Mourad A.M. and Mallah G.S. (1960); Chromosomal polymorphism in Eg ...
Africa;     egypt;31;30; Burla H. and Bachli G. (1979); Collecting Drosophila in Egypt ... ; Vieira C. and Biemont C. (1996); Geographical Variation in Inse ... ;;;;;;
Africa;     borg-el-arab;32;30; El-Adl A.M. et al. (1981); Isozyme polymorphism in Drosop ... ; El-Abidin Salam A.Z et al. (1982); Isozyme polymorphism in Drosop ... ; El-Abidin Salam A.Z et al. (1981); Isozyme polymorphism in Drosop ... ; El-Abidin Salam A.Z et al. (1982); Isozyme polymorphism in Drosop ... ;;
Asia;     china;110;30; Zhang W. et al. (1996); Drosophilidae. In: Xue; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;
Asia;     kume-jima;130;30; Kondo M. and Kimura M.T. (2008); Diversity of drosophilid flies ... ;;;;;;;;
Asia;     chongqing;106,35;29,3; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Africa;     fayum;30,5;29,19; Bachli G. et al. (1982); Drosophila subobscura in Egypt ... ; Burla H. and Bachli G. (1978); Collecting Drosophila in Egypt ... ; ZMZ Collection (1985); Zoologisches Museum Universita ... ; Dobzhansky T. et al. (1957); Collection of Drosophila speci ... ; Mourad A.M. and Mallah G.S. (1960); Chromosomal polymorphism in Eg ... 
Africa;     siwa;25,31;29,11; Yassin A.E. and Abou-Youssef A. (2004); A new front for a global invas ... ;;;;;;;;
Africa;     beni-swef;31,05;29,05; Dobzhansky T. et al. (1957); Collection of Drosophila speci ... ; Mourad A.M. and Mallah G.S. (1960); Chromosomal polymorphism in Eg ... ; Tantawy A.O. and Mallah G.S. (1957); Genetic resistance to heat in ... ; Tantawy A.O. and Mallah G.S. (1961); Studies on natural populations ... ;;
Asia;     nanchang;115,56;28,38; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     delhi;77,15;28,36; Ballard J.W.O. (2004); Sequential Evolution of a Symb ... ; David J.R. et al. (2002); Variable modes of inheritance ... ;;;;;;
Africa;     sinai mountains;34;28,3; Freidberg Collection (1989); Dr. Amnon Freidberg Department ... ;;;;;;;;
Asia;     naze;129,3;28,21; Lee W.H. (1978); Temperature sensitive viabilit ... ; Watanabe T.K. et al. (1977); Genetic variation of the hybri ... ;;;;;;
Africa;     agamy;30,43;28,2; Abou-Youssef A.Y. et al. (1983); Seasonal fluctuations of ester ... ;;;;;;;;
Asia;     changsha;113;28,1; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     amami;129,3;28,1; Watada M. et al. (1986); Genetic differentiation in Jap ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... ; Watanabe T.K. and Kawanishi M. (1978); Geographical Distribution of D ... ;;;;
Asia;     wenzhou;120,4;28,02; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     titizima;142,2;28; Kikkawa H. and Peng F.T. (1938); Drosophila Species of Japan an ... ;;;;;;;;
Asia;     okinoerabujima;128,55;27,5; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
América do Sul;     tavares;-48,32;27,39; Schmitz H.J. et al. (2007); Taxonomic Survey of Drosophili ... ;;;;;;;;
Asia;     chichijima;142,13;27,05; Ballard J.W.O. (2004); Sequential Evolution of a Symb ... ; Fuyama Y. and watada M. (1981); The Microdistribution of Droso ... ; Fuyama Y. et al. (1980); The present condition of insec ... ; Liang B.-L. and Fuyama Y. (2000); Can D. simulans breed on Morin ... ; Ohishi K. et al. (1982); Hybrid dysgenesis in natural p ... 
Africa;     assiut;31,07;27,04; Bachli G. et al. (1982); Drosophila subobscura in Egypt ... ; Burla H. and Bachli G. (1978); Collecting Drosophila in Egypt ... ; ZMZ Collection (1985); Zoologisches Museum Universita ... ;;;;
Asia;     oku;128,16;26,53; Kopp A. et al. (2006); Historical biogeography of Dro ... ;;;;;;;;
Asia;     li jiang;100,16;26,51; Ballard J.W.O. (2004); Sequential Evolution of a Symb ... ;;;;;;;;
Asia;     miyuki;128,1;26,45; Ballard J.W.O. (2004); Sequential Evolution of a Symb ... ;;;;;;;;
Asia;     hahajima;142,09;26,38; Ballard J.W.O. (2004); Sequential Evolution of a Symb ... ; Liang B.-L. and Fuyama Y. (2000); Can D. simulans breed on Morin ... ; Okada T. (1971); Taxonomic and ecological notes ... ; Toda M.J. (1976); A Preliminary Study on Drosoph ... ; Toda M.J. et al. (1987); Additional Notes on Drosophili ... 
Asia;     naga;127,59;26,36; Itoh M. et al. (2003); A further study on the expansi ... ; Watada M. and Itoh M. (1999); Distribution of Drosophila in ... ;;;;;;
Asia;     guiyang;106,4;26,35; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     fuzhou;119,17;26,09; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     guwahati;92;26; Das A. et al. (1995); Mating propensity of Indian Dr ... ;;;;;;;;
Asia;     kumejima;127,3;26; Itoh M. et al. (2003); A further study on the expansi ... ;;;;;;;;
Africa;     luxor;32,24;25,41; Kopp A. et al. (2006); Historical biogeography of Dro ... ;;;;;;;;
Asia;     patna;85,12;25,37; Das A. et al. (1995); Mating propensity of Indian Dr ... ;;;;;;;;
Asia;     ghazipur;83,36;25,36; Das A. et al. (1995); Mating propensity of Indian Dr ... ;;;;;;;;
Asia;     jamsoti;83;25,2; Das A. et al. (1995); Mating propensity of Indian Dr ... ; Das A. et al. (1995); Mating propensity of Indian Dr ... ;;;;;;
Asia;     ramnagar;83,02;25,18; Das A. et al. (1995); Mating propensity of Indian Dr ... ;;;;;;;;
Asia;     nagpur;79,12;25,1; Das A. et al. (1995); Mating propensity of Indian Dr ... ;;;;;;;;
Asia;     mirzapur;82,34;25,09; Das A. et al. (1995); Mating propensity of Indian Dr ... ;;;;;;;;
Asia;     taipei;121,32;25,05; Lin F.J. et al. (1987); Speciation in Taiwanese Drosop ... ;;;;;;;;
Asia;     kunming;102,41;25,04; Kopp A. et al. (2006); Historical biogeography of Dro ... ; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;
Asia;     lowari;84;25; Das A. et al. (1995); Mating propensity of Indian Dr ... ;;;;;;;;
Asia;     shillong;92;25; Das A. et al. (1995); Mating propensity of Indian Dr ... ;;;;;;;;
Asia;     sen-keng;121,3;25; Lin F.J. et al. (1987); Speciation in Taiwanese Drosop ... ;;;;;;;;
Asia;     wulai;121,3;24,45; Lin F.J. et al. (1987); Speciation in Taiwanese Drosop ... ;;;;;;;;
Asia;     miyakojima;125,25;24,45; Itoh M. et al. (2003); A further study on the expansi ... ; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;
Asia;     xiamen;116,05;24,28; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Africa;     kom-ombo;32,57;24,26; Mourad A.M. and Mallah G.S. (1960); Chromosomal polymorphism in Eg ... ;;;;;;;;
Asia;     iriomotejima;123,44;24,1; Itoh M. et al. (2003); A further study on the expansi ... ;;;;;;;;
Asia;     yun-shui;121;24; Lin F.J. et al. (1987); Speciation in Taiwanese Drosop ... ;;;;;;;;
Asia;     chi-tou;120,45;23,45; Lin F.J. et al. (1987); Speciation in Taiwanese Drosop ... ;;;;;;;;
Asia;     chu-shan;120,5;23,45; Lin F.J. et al. (1987); Speciation in Taiwanese Drosop ... ;;;;;;;;
Asia;     jabalpur;79,59;23,1; Das A. et al. (1995); Mating propensity of Indian Dr ... ;;;;;;;;
Asia;     guangzhou;113,2;23,08; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     nanning;108,19;22,5; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     midnapur;80;22,4; Das A. et al. (1995); Mating propensity of Indian Dr ... ;;;;;;;;
Asia;     takao;120,17;22,38; Watada M. et al. (1986); Expansion of Drosophila simula ... ;;;;;;;;
Asia;     itarsi;77,48;22,3; Das A. et al. (1995); Mating propensity of Indian Dr ... ;;;;;;;;
Asia;     balasore;86,59;21,31; Das A. et al. (1995); Mating propensity of Indian Dr ... ;;;;;;;;
Asia;     bhubaneswar;85,5;20,13; Das A. et al. (1995); Mating propensity of Indian Dr ... ;;;;;;;;
Asia;     ondi;85,5;20,1; Das A. et al. (1995); Mating propensity of Indian Dr ... ; Das A. et al. (1995); Mating propensity of Indian Dr ... ;;;;;;
Asia;     hainan;110;19; Xu S.-H. et al. (2003); Random Amplified Polymorphic D ... ;;;;;;;;
Asia;     fort cochin;72,5;18,56; Das A. et al. (1995); Mating propensity of Indian Dr ... ;;;;;;;;
Asia;     bombay;72,51;18,56; Das A. et al. (1995); Mating propensity of Indian Dr ... ;;;;;;;;
América Central;     honduras;-87;15; Carracedo M.C. et al. (2000); Sexual isolation between Droso ... ; Ellison J.R. and Barr H.J. (1971); Chromosome variation within Dr ... ;;;;;;
América Central;     el salvador;-88,55;14,45; Carson H.L. (1965); Chromosomal Morphism in Geogra ... ; Heed W.B. (1956); Apuntes sobre la ecologia y la ... ; Heed W.B. (1957); Ecological and distributional ... ;;;;
América Central;     guatemala;-90,22;14,38; del Puerto G.A. and Chihara C.J. (1988); Cuticle protein polymorphism i ... ; del Puerto G.A. et al. (1985); Last larval instar cuticle pro ... ;;;;;;
Africa;     dakar;-17,27;14,38; Lachaise D. et al. (1988); Historical Biogeography of the ... ;;;;;;;;
América Central;     zamorana;-87,01;14,01; del Puerto G.A. and Chihara C.J. (1988); Cuticle protein polymorphism i ... ; Hodin J. and Riddiford L.M. (2000); Different mechanisms underlie ... ; Throckmorton L.H. (1962); The Problem of Phylogeny in th ... ; Wheeler D.A. et al. (1988); Spectral Analysis of Drosophil ... ; Yoon J.S. (1984); Drosophila species stock list ... 
Asia;     tirupati;79,25;13,39; Das A. et al. (1995); Mating propensity of Indian Dr ... ;;;;;;;;
Asia;     madras;80,18;13,05; Das A. et al. (1995); Mating propensity of Indian Dr ... ;;;;;;;;
Asia;     bangalore;77,35;12,58; Das A. et al. (1995); Mating propensity of Indian Dr ... ;;;;;;;;
Africa;     ziguinchor;-16,2;12,35; David J. et al. (1974); Comparaison de la sensibilite ... ; Santamaria P. (1975); Transplantation of Nuclei betw ... ;;;;;;
Asia;     mysore;76,37;12,18; Das A. et al. (1995); Mating propensity of Indian Dr ... ;;;;;;;;
América do Sul;     santa marta/colombia;-74,1;11,18; Hoenigsberg H.F. (1995); Drosophila baits in northern l ... ;;;;;;;;
América Central;     goofy lake;-80;11; Pipkin S.B. (1965); The Influence of Adult and Lar ... ; Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;
Africa;     ataye;40;11; Lachaise D. and Tsacas L. (1983); Breeding-Sites in Tropical Afr ... ; Ballard J.W.O. (2004); Sequential Evolution of a Symb ... ; Lachaise D. et al. (1986); The reproductive relationships ... ;;;;
América do Sul;     guayabita;-67,29;10,15; Cova Garcia P. and Suarez O.M. (1962); Especies del genero Drosophila ... ;;;;;;;;
América Central;     la selva;-85;10; Turelli M. and Hoffmann A.A. (1995); Cytoplasmic Incompatibility in ... ; Sturtevant A.H. (1919); A new species closely resembli ... ; Sturtevant A.H. (1921); The North American Species of ... ;;;;
Africa;     ethiopia;40;10; Baba-Aissa F. et al. (1988); Mitochondrial DNA variability ... ; Hill B.G. (1966); Insects of cultivated and wild ... ;;;;;;
Asia;     ernakulam;76,16;10; Das A. et al. (1995); Mating propensity of Indian Dr ... ;;;;;;;;
América Central;     san jose/cr;-84,04;9,59; Jutier D. et al. (2004); The sex-ratio trait and its ev ... ;;;;;;;;
América Central;     fort sherman;-79,57;9,21; Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;;;
América Central;     almirante;-82,22;9,2; Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;;;
Africa;     harar;42,1;9,2; Carson H.L. and Wasserman M. (1965); A widespread chromosomal polym ... ;;;;;;;;
América Central;     frijoles;-79,48;9,11; Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;;;
América Central;     barro colorado;-79,5;9,08; Pipkin S.B. (1965); The Influence of Adult and Lar ... ; Sevenster J.G. (1992); The community ecology of frugi ... ; Sevenster J.G. and van Alphen J.J.M. (1993); A life history trade-off in Dr ... ;;;;
América Central;     panama;-79;9; Baba-Aissa F. et al. (1988); Mitochondrial DNA variability ... ; Carson H.L. (1965); Chromosomal Morphism in Geogra ... ; van der Linde K. (2005); Testing Drosophila life-histor ... ;;;;
América Central;     camaron;-79,34;8,59; Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;;;
América Central;     capira;-79,51;8,48; Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;;;
América Central;     taboga/panama;-79,33;8,47; Sturtevant A.H. (1921); The North American Species of ... ; Sturtevant A.H. (1929); The genetics of Drosophila sim ... ;;;;;;
América Central;     el volcan/panama;-82,4;8,45; Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;;;
América Central;     el valle/panama;-80,08;8,36; Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;;;
Asia;     trivandrum;76,57;8,3; Das A. et al. (1995); Mating propensity of Indian Dr ... ;;;;;;;;
América Central;     cerro campana;-81,17;8,26; Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;;;
América Central;     el real/panama;-77,42;8,06; Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;;;
Asia;     kanniyakumari;77,35;8,04; Das A. et al. (1995); Mating propensity of Indian Dr ... ;;;;;;;;
América do Sul;     georgetown/guyana;-58,1;6,46; Biemont C. et al. (2003); Worldwide distribution of tran ... ; del Puerto G.A. and Chihara C.J. (1988); Cuticle protein polymorphism i ... ; Wheeler D.A. et al. (1988); Spectral Analysis of Drosophil ... ; Yoon J.S. (1984); Drosophila species stock list ... ; Yoon J.S. (1990); Drosophila species stock list ... 
Africa;     lagos/nigeria;3,28;6,27; Lachaise D. et al. (1988); Historical Biogeography of the ... ;;;;;;;;
América do Sul;     bartica;-58,38;6,24; Sturtevant A.H. (1929); The genetics of Drosophila sim ... ;;;;;;;;
Africa;     lamto;-5,15;6,2; Lachaise D. and Tsacas L. (1974); Les Drosophilidae des savanes ... ;;;;;;;;
América do Sul;     christianberg;-58;6; Pipkin S.B. and Hewitt N.E. (1972); Variation of Alcohol Dehydroge ... ;;;;;;;;
Africa;     mbengwi;9,56;5,58; Kopp A. et al. (2006); Historical biogeography of Dro ... ;;;;;;;;
Africa;     adiopodoume;-4,08;5,19; Lachaise D. and Tsacas L. (1983); Breeding-Sites in Tropical Afr ... ;;;;;;;;
Africa;     abidjan;-4,01;5,19; Lachaise D. et al. (1988); Historical Biogeography of the ... ;;;;;;;;
América do Sul;     guyana;-58;5; Carracedo M.C. et al. (2000); Sexual isolation between Droso ... ; Csink A.K. and McDonald J.F. (1990); copia Expression Is Variable A ... ;;;;;;
América do Sul;     cayenne;-52,18;4,55; Baba-Aissa F. et al. (1988); Mitochondrial DNA variability ... ; Capy P. et al. (1988); Thoracic trident pigmentation ... ;;;;;;
América do Sul;     bogota;-74,05;4,48; Beardmore J.A. (1973); Genetic studies of polymorphic ... ; Hunter A.S. (1960); Drosophilidae of Bogota; Hunter A.S. (1964); High altitude Drosophila of Co ... ; Hunter A.S. (1966); High-Altitude Drosophila of Co ... ;;
Asia;     garat;127,04;4,46; Periquet G. (1981); Hybrid sterility in Drosophila ... ;;;;;;;;
América do Sul;     fusagasuga;-74,21;4,22; Ashburner M. and Leumeunier F. (1976); Relationships within the melan ... ; Hoenigsberg H.F. (1968); An ecological situation which ... ; Hunter A.S. and Navarro A. (1969); A Natural Population of Drosop ... ;;;;
América do Sul;     colombia;-75;4; Biemont C. et al. (2003); Worldwide distribution of tran ... ; Vieira C. and Biemont C. (1996); Geographical Variation in Inse ... ;;;;;;
Africa;     brazza-loua;15;4; Lachaise D. et al. (1986); The reproductive relationships ... ;;;;;;;;
Africa;     yaounde;11,31;3,51; Baba-Aissa F. et al. (1988); Mitochondrial DNA variability ... ; Ballard J.W.O. (2004); Sequential Evolution of a Symb ... ; Charlat S. et al. (2004); Incipient evolution of Wolbach ... ; Hamblin M.T. and Veuille M. (1999); Population Structure Among Afr ... ; Jutier D. et al. (2004); The sex-ratio trait and its ev ... 
Africa;     nkolbisson;10;3; Ashburner M. and Leumeunier F. (1976); Relationships within the melan ... ; Kopp A. et al. (2006); Historical biogeography of Dro ... ;;;;;;
Africa;     lokichar;35,4;2,23; Simmons G.M. et al. (1994); Polymorphism and Divergence at ... ;;;;;;;;
Africa;     mount elgon;34,35;1,3; Baba-Aissa F. et al. (1988); Mitochondrial DNA variability ... ;;;;;;;;
Africa;     belinga;13,12;1,09; Ashburner M. and Leumeunier F. (1976); Relationships within the melan ... ; David J. (1971); Recherche sur la composition d ... ; David J. and Bocquet C. (1972); Parallelisme evolutif chez deu ... ;;;;
Africa;     kitale;35,01;1,01; Takada H. et al. (1990); Collections of Drosophilidae ( ... ;;;;;;;;
Africa;     uganda;32;1; Buruga J.H. and Olembo R.J. (1971); Plant Food Preferences of some ... ; Tallantire A.C. and Buruga J.H. (1971); A study of some Drosophilidae ... ;;;;;;
América do Sul;     orellana;-76,05;0,53; Acurio A. and Rafael V. (2009); Diversity and geographical dis ... ;;;;;;;;
América do Sul;     atacames;-79,48;0,51; Irvin S.D. et al. (1998); Genetic Variation and Differen ... ; Turelli M. and Hoffmann A.A. (1995); Cytoplasmic Incompatibility in ... ;;;;;;
