Região;Local;Longitude;Latitude;Referências;;;;;;;;;
América do Sul;    florianopolis/sc;-48.32;-27.35 ;Gottschalk M.S. et al. (2007), Changes in Brazilian Drosophil ... ;;;;;;;;;
América do Sul;    itacorubi;-48.31;-27.35;Schmitz H.J. et al. (2007), Taxonomic Survey of Drosophili ... ;;;;;;;;;
América do Sul;    itaqui/rs;-56.33;-29.09;Robe L.J. et al. (2010), Taxonomic boundaries, phylogen ... ;;;;;;;;;
América do Sul;    itaqui/rs;-56.33;-29.09; phylogen ... ;;;;;;;;;
América do Sul;    esteio; -51.11;-29.52 ;Martins M.B. (2001), Drosophilid Fruit-Fly Guilds i ... ;;;;;;;;;
América do Sul;    restinga/rgs; -53.25;-29.55;Napp M. and Cordeiro A.R. (1978), Genetic variability and disequ ... ;;;;;;;;;
América do Sul;    tramandai/rs;-50.13;-29.55 ;Sene F.M. et al. (1980), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    tramandai/rs;-50.13;-29.55 ;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    chile; -70.00;-30.00 ;Napp M. and Cordeiro A.R. (1981), Interspecific relationships in ... ;;;;;;;;;
América do Sul;    guaritas/rs; -53.20;-30.45;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    valparaiso/chile;-70.40;-33.05;Brncic D. (1987), A review of the genus Drosophi ... ;;;;;;;;;
América do Sul;    el tabo;-71.40;-33.31;Brncic D. (1987), A review of the genus Drosophi ... ;;;;;;;;;
América do Sul;    san miguel de tucuman;-65.00;-35.00 ;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Norte;    honolulu;-157,5;21,19; Herforth R.S. et al. (1984); A new arrival to the Hawaiian ...;;;;;;;;
América do Norte;  hawaii;-155,4;19,55; Anonymous XXX. (1986); New immigrant records for the ...;;;;;;;;
América do Norte;    hawaii;-155,4;19,55; Kaneshiro K. (1986); Drosophila cardini Sturtevant. ...;;;;;;;;
América do Norte;    hawaii;-155,4;19,55; Leblanc L. et al. (2109); New Immigrant Drosophilidae in ...;;;;;;;;
América do Norte;    monterey;-120,3;34,3; Stalker H.D. (1953); Taxonomy and hybridization in ...;;;;;;;;
América do Norte;    ensenada/bcn;-116,37;32,52; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;
América do Norte;    arizona;-112;35; Patterson J.T. (1943); The Drosophilidae of the South ...;;;;;;;;
América do Norte;    chiricahua mountains/az;-109,23;31,56; Patterson J.T. and Wagner R.P. (1943); Geographical distribution of s ...;;;;;;;;
América do Norte;    chinipas;-108,32;27,22; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;
América do Norte;    culiacan/sin;-107,27;24,27; Gallo A.J. and Salceda V.M. (1974); Drosophila collections from fo ...;;;;;;;;
América do Norte;    san rafael oribo;-106;30; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;
América do Norte;    durango/dur;-104,4;24,01; Stalker H.D. (1953); Taxonomy and hybridization in ...;;;;;;;;
América do Norte;    tamaulipas;-104,2;35,5; Patterson J.T. (1943); The Drosophilidae of the South ...;;;;;;;;
América do Norte;    jalisco/jal;-104;20; Patterson J.T. (1943); The Drosophilidae of the South ...;;;;;;;;
América do Norte;    fort davis/tx;-103,54;30,35; Patterson J.T. and Wagner R.P. (1943); Geographical distribution of s ...;;;;;;;;
América do Norte;    tequila/jal;-103,5;20,53; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ...;;;;;;;;
América do Norte;    chisos/tx;-103,2;29,15; Patterson J.T. and Wagner R.P. (1943); Geographical distribution of s ...;;;;;;;;
América do Norte;    jacona/mic;-102,19;19,58; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ...;;;;;;;;
América do Norte;    camecuaro/mic;-102,17;19,55; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ...;;;;;;;;
América do Norte;    uruapan/mic;-102,04;19,26; Gallo A.J. and Salceda V.M. (1974); Drosophila collections from fo ...;;;;;;;;
América do Norte;    uruapan/mic;-102,04;19,26; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ...;;;;;;;;
América do Norte;    michoacan;-102;21; Patterson J.T. (1943); The Drosophilidae of the South ...;;;;;;;;
América do Norte;    coahuila/coa;-101,4;27; Patterson J.T. (1943); The Drosophilidae of the South ...;;;;;;;;
América do Norte;    patzcuaro/mic;-101,38;19,3; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ...;;;;;;;;
América do Norte;    san luis potosi;-101;22,1; Patterson J.T. (1943); The Drosophilidae of the South ...;;;;;;;;
América do Norte;    huichihuayan/slp;-101;23; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ...;;;;;;;;
América do Norte;saltillo/coa;-101;25,3; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico.;;;;;;;;
América do Norte;    sterling city/nm;-101;31,5; Patterson J.T. and Wagner R.P. (1943); Geographical distribution of s ...;;;;;;;;
América do Norte;    del rio/tx;-100,56;29,23; Patterson J.T. and Wagner R.P. (1943); Geographical distribution of s ...;;;;;;;;
América do Norte;    guerrero;-100,22;28,21; Patterson J.T. (1943); The Drosophilidae of the South ...;;;;;;;;
América do Norte;    monterrey/nul;-100,19;25,4; Hsu T.C. (1949); The external genital apparatus ...;;;;;;;;
América do Norte;    monterrey/nul;-100,19;25,4; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ...;;;;;;;;
América do Norte;    sabinas/nul;-100,1;26,33; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ... ;;;;;;;;
América do Norte;    mexico;-100;20; Napp M. and Cordeiro A.R. (1981); Interspecific relationships in ...;;;;;;;;
América do Norte;    mexico;-100;20; Vargas L. (1954); Lista de las especies de Droso ...;;;;;;;;
América do Norte;    nuevo leon;-100;25; Patterson J.T. (1943); The Drosophilidae of the South ...;;;;;;;;
América do Norte;    williamson/tx;-100;30; Patterson J.T. and Wagner R.P. (1943); Geographical distribution of s ...;;;;;;;;
América do Norte;    acapulco/gue;-99,56;16,51; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ...;;;;;;;;
América do Norte;    hualahuises/nul;-99,42;24,56; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ...;;;;;;;;
América do Norte;    taxco/gue;-99,36;18,33; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ...;;;;;;;;
América do Norte;    zumpango/gue;-99,3;17,39; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ...;;;;;;;;
América do Norte;    zempoala/mex;-99,19;19,03; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ...;;;;;;;;
América do Norte;    alpuyeca/mor;-99,16;18,44; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ...;;;;;;;;
América do Norte;    cuernavaca/mor;-99,15;18,57; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;
América do Norte;    desierto de los leones;-99,12;19,2; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ...;;;;;;;;
América do Norte;    jacala/hid;-99,12;21,01; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ...;;;;;;;;
América do Norte;    mexico city;-99,08;19,23; Patterson J.T. (1943); The Drosophilidae of the South ...;;;;;;;;
América do Norte;    mexico city;-99,08;19,23; Stalker H.D. (1953); Taxonomy and hybridization in ...;;;;;;;;
América do Norte;    morelos;-99;19; Patterson J.T. (1943); The Drosophilidae of the South ...;;;;;;;;
América do Norte;    matlapa/slp;-99;21; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ...;;;;;;;;
América do Norte;    guemez/tam;-99;23,56; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ...;;;;;;;;
América do Norte;    llera/tam;-99;24; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ...;;;;;;;;
América do Norte;    ciudad mante/tam;-98,59;22,44; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ...;;;;;;;;
América do Norte;    tamazunchale/slp;-98,47;21,16; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ...;;;;;;;;
América do Norte;    san antonio/tx;-98,3;29,25; Patterson J.T. and Wagner R.P. (1943); Geographical distribution of s ...;;;;;;;;
América do Norte;    atlixco/pue;-98,26;18,55; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ...;;;;;;;;
América do Norte;    atlixco/pue;-98,26;18,55; Stalker H.D. (1953); Taxonomy and hybridization in ...;;;;;;;;
América do Norte;    mcallen/tx;-98,14;26,12; Patterson J.T. and Wagner R.P. (1943); Geographical distribution of s ...;;;;;;;;
América do Norte;    hidalgo/tam;-98,12;26,03; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ...;;;;;;;;
América do Norte;    grand canyon/tx;-98,12;31,03; Patterson J.T. and Wagner R.P. (1943); Geographical distribution of s ...;;;;;;;;
América do Norte;    edinburg/tx;-98,1;26,18; Patterson J.T. and Wagner R.P. (1943); Geographical distribution of s ...;;;;;;;;
América do Norte;    alice/tx;-98,04;27,45; Patterson J.T. and Wagner R.P. (1943); Geographical distribution of s ...;;;;;;;;
América do Norte;    weslaco/tx;-97,59;26,1; Patterson J.T. and Wagner R.P. (1943); Geographical distribution of s ...;;;;;;;;
América do Norte;    weslaco/tx;-97,59;26,1; Yoon J.S. (1984); Drosophila species stock list ...;;;;;;;;
América do Norte;    weslaco/tx;-97,59;26,1; Yoon J.S. (1990); Drosophila species stock list ...;;;;;;;;
América do Norte;    weslaco/tx;-97,59;26,1; Yoon Z. (1996); Stock List. National Drosophil ...;;;;;;;;
América do Norte;    tampico/tam;-97,52;22,18; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ...;;;;;;;;
América do Norte;    petlalcingo/pue;-97,51;18,08; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ...;;;;;;;;
América do Norte;    huajuapan de leon/oxa;-97,48;17,5; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;
América do Norte;    austin/tx;-97,44;30,16; Patterson J.T. (1943); The Drosophilidae of the South ...;;;;;;;;
América do Norte;    austin/tx;-97,44;30,16; Patterson J.T. and Wagner R.P. (1943); Geographical distribution of s ...;;;;;;;;
América do Norte;    austin/tx;-97,44;30,16; Spencer W.P. (1957); Genetic studies on Drosophila ...;;;;;;;;
América do Norte;    harlingen/tx;-97,43;26,12; Patterson J.T. and Wagner R.P. (1943); Geographical distribution of s ...;;;;;;;;
América do Norte;    teziutlan/pue;-97,22;19,49; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;
América do Norte;    teziutlan/pue;-97,22;19,49; Kambysellis M.P. (1968); Comparative studies of oogenes ...;;;;;;;;
América do Norte;    teziutlan/pue;-97,22;19,49; Throckmorton L.H. (1962); The Problem of Phylogeny in th ...;;;;;;;;
América do Norte;    teziutlan/pue;-97,22;19,49; Yoon J.S. (1984); Drosophila species stock list ...;;;;;;;;
América do Norte;    teziutlan/pue;-97,22;19,49; Yoon J.S. (1990); Drosophila species stock list ...;;;;;;;;
América do Norte;    teziutlan/pue;-97,22;19,49; Yoon Z. (1996); Stock List. National Drosophil ...;;;;;;;;
América do Norte;    cordoba/vcr;-96,55;18,55; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ...;;;;;;;;
América do Norte;    oaxaca/oxa;-96,44;17,02; Stalker H.D. (1953); Taxonomy and hybridization in ...;;;;;;;;
América do Norte;    oaxaca city;-96,41;17,05; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;
América do Norte;    puente nacional/vcr;-96,3;19,3; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ...;;;;;;;;
América do Norte;    veracruz/vcr;-96,1;19,11; Gallo A.J. and Salceda V.M. (1974); Drosophila collections from fo ...;;;;;;;;
América do Norte;    tehuantepec/oxa;-95,13;16,21; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;
América do Norte;    minatitlan/vcr;-94,32;17,59; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;
América do Norte;    jalapa/vcr;-92,48;17,45; Patterson J.T. and Mainland G.B. (1944); The Drosophilidae of Mexico. ...;;;;;;;;
América do Norte;    merida/mex;-89,39;20,59; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;
América do Norte;    merida/mex;-89,39;20,59; Yoon J.S. (1984); Drosophila species stock list ...;;;;;;;;
América do Norte;    hammock;-85,01;30,27; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;
América do Norte;    lexington/ky;-84,3;38,02; Dawson W.D. (1960); Studies of the overwintering p ...;;;;;;;;
América do Norte;    homestead/fl;-82,44;31,02; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;
América do Norte;    homestead/fl;-82,44;31,02; Yoon J.S. (1984); Drosophila species stock list ...;;;;;;;;
América do Norte;    saint petersburg/fl;-82,4;27,45; Stalker H.D. (1953); Taxonomy and hybridization in ...;;;;;;;;
América do Norte;    tampa/fl;-82,38;27,58; Sturtevant A.H. (1921); The North American Species of ...;;;;;;;;
América do Norte;    withlacoochee/fl;-82,3;29; Patterson J.T. and Wagner R.P. (1943); Geographical distribution of s ... ;;;;;;;;
América do Norte;    don pedro/fl;-82,16;24,3; Simunovic A. and Jaenike J. (2006); Adaptive variation among Droso ...;;;;;;;;
América do Norte;    myakka/fl;-82,16;27,19; Patterson J.T. and Wagner R.P. (1943); Geographical distribution of s ...;;;;;;;;
América do Norte;    myakka head/fl;-82,15;27,2; Dudgeon E. (1954); Species Differences in the Uti ...;;;;;;;;
América do Norte;    myakka head/fl;-82,15;27,2; Stalker H.D. (1953); Taxonomy and hybridization in ...;;;;;;;;
América do Norte;    lakeland/fl;-81,59;28,02; Sturtevant A.H. (1921); The North American Species of ...;;;;;;;;
América do Norte;    collier/fl;-81,35;25,59; Patterson J.T. and Wagner R.P. (1943); Geographical distribution of s ...;;;;;;;;
América do Norte;    avon park/fl;-81,3;27,36; Patterson J.T. and Wagner R.P. (1943); Geographical distribution of s ...;;;;;;;;
América do Norte;    florida;-81,3;27,4; Patterson J.T. (1943); The Drosophilidae of the South ...;;;;;;;;
América do Norte;    florida;-81,3;27,4; Townsend J.I. and Wheeler M.R. (1955); Notes on Puerto Rican Drosophi ...;;;;;;;;
América do Norte;    everglades park/fl;-81,22;26,52; Dudgeon E. (1954); Species Differences in the Uti ...;;;;;;;;
América do Norte;    everglades/fl;-81,22;26,52; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;
América do Norte;    everglades/fl;-81,22;26,52; Stalker H.D. (1953); Taxonomy and hybridization in ...;;;;;;;;
América do Norte;  lake placid/fl;-81,22;27,18; Stalker H.D. (1953); Taxonomy and hybridization in ...;;;;;;;;
América do Norte;    orlando/fl;-81,21;28,33; Patterson J.T. and Wagner R.P. (1943); Geographical distribution of s ...;;;;;;;;
América do Norte;    orlando/fl;-81,21;28,33; Sturtevant A.H. (1921); The North American Species of ...;;;;;;;;
América do Norte;    monroe/fl;-81,17;28,5; Patterson J.T. and Wagner R.P. (1943); Geographical distribution of s ...;;;;;;;;
América do Norte;    daytona/fl;-81,01;29,11; Sturtevant A.H. (1921); The North American Species of ...;;;;;;;;
América do Norte;    lake mckethan/fl;-81;27; Patterson J.T. and Wagner R.P. (1943); Geographical distribution of s ...;;;;;;;;
América do Norte;    mayakka;-81;27; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;
América do Norte;    royal palm park/fl;-81;27; Patterson J.T. and Wagner R.P. (1943); Geographical distribution of s ...;;;;;;;;
América do Norte;    lake okeechobee/fl;-80,5;27,14; Patterson J.T. and Wagner R.P. (1943); Geographical distribution of s ...;;;;;;;;
América do Norte;    lake okeechobee/fl;-80,5;27,14; Wharton L.T. (1943); Analysis of the metaphase and ...;;;;;;;;
América do Norte;    lake okeechobee/fl;-80,5;27,14; Wheeler M.R. (1949); Taxonomic studies on the Droso ... ;;;;;;;;
América do Norte;    pahokee/fl;-80,4;26,49; Patterson J.T. and Wagner R.P. (1943); Geographical distribution of s ...;;;;;;;;
América do Norte;    palatka/fl;-80,4;29,38; Patterson J.T. and Wagner R.P. (1943); Geographical distribution of s ...;;;;;;;;
América do Norte;    coral gables/fl;-80,16;25,42; Ehrman L. and Miller T. (1982); Florida Drosophila. ...;;;;;;;;
América do Norte;    miami;-80,15;25,45; Sturtevant A.H. (1916); Notes on North American Drosop ...;;;;;;;;
América do Norte;    miami/fl;-80,15;25,45; Patterson J.T. and Wagner R.P. (1943); Geographical distribution of s ...;;;;;;;;
América do Norte;    miami/fl;-80,15;25,45; Stalker H.D. (1953); Taxonomy and hybridization in ...;;;;;;;;
América do Norte;    miami/fl;-80,15;25,45; Sturtevant A.H. (1921); The North American Species of ...;;;;;;;;
América do Norte;    broward;-80,1;25,05; Marron M.T. et al. (2003); Effects of starvation and desi ...;;;;;;;;
América do Norte;    fort lauderdale/fl;-80,08;26,08; Sturtevant A.H. (1921); The North American Species of ...;;;;;;;;
América do Norte;    pompano/fl;-80,07;26,14; Hunter A.S. (1981); Drosophila of Pompano Beach;;;;;;;;
América Central;santa ana/es; -89.31;14.00 ; Clayton F.E. and Wasserman M. (1957); Chromosomal studies of several ... ;;;;;;;;
América Central;san salvador/es; -89.10;13.40 ; Clayton F.E. and Wasserman M. (1957); Chromosomal studies of several ... ;;;;;;;;
América Central;el salvador; -88.55;14.45 ; Heed W.B. (1956); Apuntes sobre la ecologia y la ... ;;;;;;;;
América Central;el salvador; -88.55;14.45 ; Heed W.B. (1957); Ecological and distributional ... ;;;;;;;;
América Central;san vicente/es; -88.42;13.38 ; Clayton F.E. and Wasserman M. (1957); Chromosomal studies of several ... ;;;;;;;;
América Central;port limon/cr; -85.00;10.00 ; Sturtevant A.H. (1916); Notes on North American Drosop ... ;;;;;;;;
América Central;port limon/cr; -85.00;10.00 ; Sturtevant A.H. (1921); The North American Species of ... ;;;;;;;;
América Central;santa maria de ostuma; -85.00;12.00 ; Clayton F.E. and Wasserman M. (1957); Chromosomal studies of several ... ;;;;;;;;
América Central;palmar del norte; -84.08;10.00 ; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ... ;;;;;;;;
América Central;san jose/cr; -84.04;9.59 ; Sturtevant A.H. (1916); Notes on North American Drosop ... ;;;;;;;;
América Central;san jose/cr; -84.04;9.59 ; Sturtevant A.H. (1921); The North American Species of ...;;;;;;;;
América Central;suiza de turrialba; -83.40;9.56 ; Duda O. (1925); Die costaricanischen Drosophil ... ;;;;;;;;
América Central;el volcan/panama; -82.40;8.45 ; Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;;;
América Central;boquete; -82.28;8.46 ; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ... ;;;;;;;;
América Central;almirante; -82.22;9.20 ; Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;;;
América Central;cerro campana; -81.17;8.26 ; Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;;;
América Central;el valle/panama; -80.08;8.36 ; Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;;;
América Central;goofy lake; -80.00;11.00 ; Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;;;
América Central;madden forest; -80.00;11.00 ; Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;;;
América Central;fort sherman; -79.57;9.21 ; Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;;;
América Central;capira; -79.51;8.48 ; Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;;;
América Central;barro colorado; -79.50;9.08 ; Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;;;
América Central;frijoles; -79.48;9.11 ; Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;;;
América Central;camaron; -79.34;8.59 ; Pipkin S.B. (1965); The Influence of Adult and Lar ... ;;;;;;;;
América Central;panama; -79.00;9.00 ; Sturtevant A.H. (1916); Notes on North American Drosop ... ;;;;;;;;
América Central;panama; -79.00;9.00 ; Sturtevant A.H. (1921); The North American Species of ... ;;;;;;;;
América Central;el real/panama; -77.42;8.06 ; Pipkin S.B. (1965); The Influence of Adult and Lar ...;;;;;;;;
Ilhas do Caribe;    cristo;-88,21;23,08; Sturtevant A.H. (1916); Notes on North American Drosop ...;;;;;;;;
Ilhas do Caribe;    cristo;-88,21;23,08; Sturtevant A.H. (1921); The North American Species of ...;;;;;;;;
Ilhas do Caribe;    herradura/cuba;-83,25;22,31; Sturtevant A.H. (1916); Notes on North American Drosop ...;;;;;;;;
Ilhas do Caribe;    herradura/cuba;-83,25;22,31; Sturtevant A.H. (1921); The North American Species of ...;;;;;;;;
Ilhas do Caribe;    havana/cuba;-82,25;23,07; Bachli G. (1988); A catalogue of the types in th ...;;;;;;;;
Ilhas do Caribe;    havana/cuba;-82,25;23,07; MSNM Collection (1986); Museo civico di Storia natural ...;;;;;;;;
Ilhas do Caribe;    havana/cuba;-82,25;23,07; Stalker H.D. (1953); Taxonomy and hybridization in ...;;;;;;;;
Ilhas do Caribe;    havana/cuba;-82,25;23,07; Sturtevant A.H. (1916); Notes on North American Drosop ...;;;;;;;;
Ilhas do Caribe;    havana/cuba;-82,25;23,07; Sturtevant A.H. (1921); The North American Species of ...;;;;;;;;
Ilhas do Caribe;    havana/cuba;-82,25;23,07; Vilela C.R. et al. (2002); Preliminary data on the geogra ...;;;;;;;;
Ilhas do Caribe;    havana/cuba;-82,25;23,07; Wheeler M.R. (1970); Family Drosophilidae. In: A Ca ...;;;;;;;;
Ilhas do Caribe;    georgetown/cayman;-81,23;19,2; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;
Ilhas do Caribe;    grand cayman;-81,15;19,2; Yoon J.S. (1990); Drosophila species stock list ...;;;;;;;;
Ilhas do Caribe;    grand cayman;-81,15;19,2; Yoon Z. (1996); Stock List. National Drosophil ...;;;;;;;;
Ilhas do Caribe;    aguada pasajeros;-81,07;22,31; Sturtevant A.H. (1916); Notes on North American Drosop ...;;;;;;;;
Ilhas do Caribe;    aguada pasajeros;-81,07;22,31; Sturtevant A.H. (1921); The North American Species of ...;;;;;;;;
Ilhas do Caribe;    jamaica;-78;18; Gowdey C.C. (1926); Catalogus insectorum jamaicens ...;;;;;;;;
Ilhas do Caribe;    jamaica;-78;18; Napp M. and Cordeiro A.R. (1981); Interspecific relationships in ...;;;;;;;;
Ilhas do Caribe;    contramaestre;-77,55;21,11; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;
Ilhas do Caribe;    contramaestre;-77,55;21,11; Yoon J.S. (1984); Drosophila species stock list ...;;;;;;;;
Ilhas do Caribe;    contramaestre;-77,55;21,11; Yoon J.S. (1990); Drosophila species stock list ...;;;;;;;;
Ilhas do Caribe;    contramaestre;-77,55;21,11; Yoon Z. (1996); Stock List. National Drosophil ...;;;;;;;;
Ilhas do Caribe;    hermitage/jamaica;-77,53;18,16; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;
Ilhas do Caribe;    cuba;-77,45;21,3; Brisson J.A. et al. (2006); Phylogenetic analysis of the c ...;;;;;;;;
Ilhas do Caribe;    cuba;-77,45;21,3; Metz C.W. (1916); Chromosome studies on the Dipt ...;;;;;;;;
Ilhas do Caribe;    porus/jamaica;-77,25;18,02; Johnson C.W. (1919); A revised list of the Diptera ...;;;;;;;;
Ilhas do Caribe;    strawberry hills/jamaica;-77;18; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;
Ilhas do Caribe;    puerto rico;-77;18; Heed W.B. (1957); A preliminary note on the card ...;;;;;;;;
Ilhas do Caribe;    puerto rico;-77;18; Levins R. (1969); Thermal acclimation and heat r ...;;;;;;;;
Ilhas do Caribe;    puerto rico;-77;18; Napp M. and Cordeiro A.R. (1981); Interspecific relationships in ...;;;;;;;;
Ilhas do Caribe;    rio piedras/pr;-77;18; Townsend J.I. and Wheeler M.R. (1955); Notes on Puerto Rican Drosophi ...;;;;;;;;
Ilhas do Caribe;    constant spring;-76,48;18,03; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;
Ilhas do Caribe;    constant spring;-76,48;18,03; Yoon J.S. (1984); Drosophila species stock list ...;;;;;;;;
Ilhas do Caribe;    santiago de las vegas;-75;20; Sturtevant A.H. (1916); Notes on North American Drosop ...;;;;;;;;
Ilhas do Caribe;    santiago de las vegas;-75;20; Sturtevant A.H. (1921); The North American Species of ...;;;;;;;;
Ilhas do Caribe;    petionville;-72,2;18,3; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;
Ilhas do Caribe;    petionville;-72,2;18,3; Yoon J.S. (1984); Drosophila species stock list ...;;;;;;;;
Ilhas do Caribe;    petionville;-72,2;18,3; Yoon J.S. (1990); Drosophila species stock list ...;;;;;;;;
Ilhas do Caribe;    petionville;-72,2;18,3; Yoon Z. (1996); Stock List. National Drosophil ...;;;;;;;;
Ilhas do Caribe;    constanza;-70,3;19,15; Brisson J.A. et al. (2006); Phylogenetic analysis of the c ...;;;;;;;;
Ilhas do Caribe;    finquita;-70;18,3; Brisson J.A. et al. (2006); Phylogenetic analysis of the c ...;;;;;;;;
Ilhas do Caribe;    sanchez/rd;-69,36;19,15; Sturtevant A.H. (1916); Notes on North American Drosop ...;;;;;;;;
Ilhas do Caribe;    sanchez/rd;-69,36;19,15; Sturtevant A.H. (1921); The North American Species of ...;;;;;;;;
Ilhas do Caribe;    mayaguez/pr;-67,09;18,13; Futch D.G. (1962); Hybridization tests within the ...;;;;;;;;
Ilhas do Caribe;    mayaguez/pr;-67,09;18,13; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;
Ilhas do Caribe;    mayaguez/pr;-67,09;18,13; Martinez Pico M. et al. (1965); Ecology and genetics of Puerto ...;;;;;;;;
Ilhas do Caribe;    mayaguez/pr;-67,09;18,13; Sturtevant A.H. (1916); Notes on North American Drosop ... ;;;;;;;;
Ilhas do Caribe;  mayaguez/pr;-67,09;18,13; Sturtevant A.H. (1921); The North American Species of ...;;;;;;;;
Ilhas do Caribe;    arecibo/pr;-66,44;18,29; Sturtevant A.H. (1916); Notes on North American Drosop ...;;;;;;;;
Ilhas do Caribe;    arecibo/pr;-66,44;18,29; Sturtevant A.H. (1921); The North American Species of ...;;;;;;;;
Ilhas do Caribe;    adjuntas;-66,42;18,1; Sturtevant A.H. (1916); Notes on North American Drosop ...;;;;;;;;
Ilhas do Caribe;    adjuntas;-66,42;18,1; Sturtevant A.H. (1921); The North American Species of ...;;;;;;;;
Ilhas do Caribe;    jayuya;-66,34;18,13; Sturtevant A.H. (1916); Notes on North American Drosop ...;;;;;;;;
Ilhas do Caribe;    jayuya;-66,34;18,13; Sturtevant A.H. (1921); The North American Species of ...;;;;;;;;
Ilhas do Caribe;    caribbean forest;-66;18,1; Townsend J.I. and Wheeler M.R. (1955); Notes on Puerto Rican Drosophi ...;;;;;;;;
Ilhas do Caribe;    maraval/trinidad;-61,31;10,42; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...;;;;;;;;
