Região;Local;Longitude;Latitude;Referências;;;;;;;;;
América do Sul;    urucu;-35.00;-8.17;Prudente A.L. da Costa et al. (2008), Fauna. In: Biodiversidade na P ... ;;;;;;;;;
América do Sul;    huaraz;-77.31;-9.33;Suyo T. M.P. et al. (1983), Analisis de la genitalia exter ... ;;;;;;;;;
América do Sul;    peru;-75.00;-10.00;Pilares G.L. and Suyo M.P. (1982), Distribution of different spec ... ;;;;;;;;;
América do Sul;    peru; -75.00;-10.00 ;Pilares G. L.V. and vasquez E. J.A. (1977), Especies del genero Drosophila ... ;;;;;;;;;
América do Sul;    brazil;-50.00;-10.00;Brisson J.A. et al. (2006), Phylogenetic analysis of the c ... ;;;;;;;;;
América do Sul;    brazil;-50.00;-10.00;Napp M. and Cordeiro A.R. (1981), Interspecific relationships in ... ;;;;;;;;;
América do Sul;    bonito;-39.00;-10.00;Tidon-Sklorz R. and de Melo Sene F. (1995), Fauna of Drosophila (Diptera, ... ;;;;;;;;;
América do Sul;    guaraja/ro; -64.50;-10.39;Chaves N.B. and Tidon R. (2008), Biogeographical aspects of dro ... ;;;;;;;;;
Guajará-Mirim;    guaraja/ro;-64,63;-10,41;Lab. Bio. Evolutiva, UnB;;;;;;;;;
América do Sul;    xique-xique/ba;-42.40;-10.42;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    la merced/peru;-75.16;-11.03 ;Pilares G. L.V. and vasquez E. J.A. (1977), Especies del genero Drosophila ... ;;;;;;;;;
América do Sul;    irece/ba; -41.47;-11.20 ;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    cafarnaum/ba;-41.20;-11.30 ;Tidon-Sklorz R. and de Melo Sene F. (1995), Fauna of Drosophila (Diptera, ... ;;;;;;;;;
América do Sul;    cafarnaum/ba;-41.20;-11.30;Vilela C.R. et al. (2002), Preliminary data on the geogra ... ;;;;;;;;;
América do Sul;    morro do chapeu/ba;-41.01;-11.38;Tidon-Sklorz R. and de Melo Sene F. (1995), Fauna of Drosophila (Diptera, ... ;;;;;;;;;
América do Sul;    morro do chapeu/ba;-41.01;-11.38;Tidon-Sklorz R. and de Melo Sene F. (1995);;;;;;;;;
