Região;Local;Longitude;Latitude;Referência;;;;;;;;;
América do Sul;    tucupita;-62,04;9,02; Ayala F.J. et al. (1974); Genetic variation in natural p ...;;;;;;;;
América do Sul;    tucupita;-62,04;9,02; Zouros E. (1979); Mutation rates population siz ...;;;;;;;;
América do Sul;    barrancas/venezuela;-70,07;8,47; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    monteria;-75,54;8,45; da Cunha A.B. et al. (1959); Genetics of natural population ...;;;;;;;;
América do Sul;    monteria;-75,54;8,45; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    cordoba/colombia;-75,54;8,24; Petit C. and Ehrman L. (1968); Le role de la selection sexuel ...;;;;;;;;
América do Sul;    merida/venezuela;-71,08;8,24; Perez-Salas S. (1970); Consideraciones geneticas sobr ...;;;;;;;;
América do Sul;    merida/venezuela;-71,08;8,24; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    turbo;-76,44;8,06; Ayala F.J. (1970); Competition Coexistence and ...;;;;;;;;
América do Sul;    turbo;-76,44;8,06; Ayala F.J. et al. (1972); Enzyme variability in the Dros ...;;;;;;;;
América do Sul;    turbo;-76,44;8,06; Ehrman L. and Petit C. (1968); Genotype frequency and mating ...;;;;;;;;
América do Sul;    turbo;-76,44;8,06; Petit C. and Ehrman L. (1968); Le role de la selection sexuel ...;;;;;;;;
América do Sul;    turbo;-76,44;8,06; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    llanos;-76;8; Ayala F.J. (1970); Competition Coexistence and ...;;;;;;;;
América do Sul;    llanos;-76;8; Krimbas C.B. (1959); Comparison of the concealed va ...;;;;;;;;
América do Sul;    llanos;-76;8; Perez-Salas S. (1970); Consideraciones geneticas sobr ...;;;;;;;;
América do Sul;    llanos;-76;8; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    la victoria/colombia;-75;8; Hunter A.S. (1966); Effects of temperature on Dros ...;;;;;;;;
América do Sul;    las mesitas;-75;8; Hunter A.S. (1966); Effects of temperature on Dros ...;;;;;;;;
América do Sul;    teresita;-77;7,3; Ayala F.J. (1970); Competition Coexistence and ...;;;;;;;;
América do Sul;    teresita;-77;7,3; Ayala F.J. et al. (1972); Enzyme variability in the Dros ...;;;;;;;;
América do Sul;    maripa;-65,1;7,24; Richmond R.C. and Dobzhansky T. (1976); Genetic differentiation within ...;;;;;;;;
América do Sul;    bucaramanga;-73,1;7,08; Ayala F.J. (1970); Competition Coexistence and ...;;;;;;;;
América do Sul;    bucaramanga;-73,1;7,08; da Cunha A.B. et al. (1959); Genetics of natural population ... ;;;;;;;;
América do Sul;bucaramanga;-73,1;7,08; Dobzhansky T. (1957); Genetics of natural population ...;;;;;;;;
América do Sul;    bucaramanga;-73,1;7,08; Dobzhansky T. (1965);" Wild"" and ""Domestic"" Species o ...";;;;;;;;
América do Sul;    bucaramanga;-73,1;7,08; Perez-Salas S. (1970); Consideraciones geneticas sobr ...;;;;;;;;
América do Sul;    bucaramanga;-73,1;7,08; Spassky B. et al. (1971); Geography of the sibling speci ...;;;;;;;;
América do Sul;    la paragua;-63,22;6,53; Richmond R.C. and Dobzhansky T. (1976); Genetic differentiation within ...;;;;;;;;
América do Sul;    georgetown/guyana;-58,1;6,46; Malogolowkin-Cohen C. et al. (1964); Inbreeding and the mutational ...;;;;;;;;
