Região;Local;Longitude;Latitude;Referência;;;;;;;;;
;;;;Pavan C. (1959), Relacoes entre populacoes natu ...;;;;;;;;;
;;;;Pavan C. (1959), Relacoes entre populacoes natu ...;;;;;;;;;
;;;;Streisinger G. (1946), The cardini species group of t ...;;;;;;;;;
;;;;Heed W.B. and Russell J.S. (1971), Phylogeny and Population Struc ...;;;;;;;;;
;;;;Pavan C. (1952), Relacoes entre populacoes natu ...;;;;;;;;;
;;;;Pavan C. (1959), Relacoes entre populacoes natu ...;;;;;;;;;
;;;;Vilela C.R. et al. (2002), Preliminary data on the geogra ...;;;;;;;;;
;;;;Vilela C.R. et al. (2002), Preliminary data on the geogra ...;;;;;;;;;
;;;;Vilela C.R. et al. (2002), Preliminary data on the geogra ...;;;;;;;;;
;;;;Pavan C. (1959), Relacoes entre populacoes natu ...;;;;;;;;;
;;;;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
;;;;Vilela C.R. et al. (2002), Preliminary data on the geogra ...;;;;;;;;;
;;;;Pavan C. (1959), Relacoes entre populacoes natu ...;;;;;;;;;
;;;;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
;;;;Sene F.M. et al. (1980), Preliminary data on the geogra ...;;;;;;;;;
;;;;Sene F.M. et al. (1981), Influence of different ways to ...;;;;;;;;;
;;;;Vilela C.R. et al. (2002), Preliminary data on the geogra ...;;;;;;;;;
;;;;Rohde C. and Valente V.L.S. (1996), Ecological characteristics of ...;;;;;;;;;
;;;;Streisinger G. (1946), The cardini species group of t ...;;;;;;;;;
;;;;Val F.C. (1982), The male genitalia of some Neo ...;;;;;;;;;
;;;;Vilela C.R. et al. (2002), Preliminary data on the geogra ...;;;;;;;;;
;;;;Wheeler M.R. (1970), Family Drosophilidae. In: A Ca ...;;;;;;;;;
;;;;Pavan C. (1959), Relacoes entre populacoes natu ...;;;;;;;;;
;;;;Pavan C. (1959), Relacoes entre populacoes natu ...;;;;;;;;;
;;;;Pavan C. (1959), Relacoes entre populacoes natu ...;;;;;;;;;
;;;;Pavan C. (1959), Relacoes entre populacoes natu ...;;;;;;;;;
;;;;Vilela C.R. et al. (2002), Preliminary data on the geogra ...;;;;;;;;;
;;;;Pavan C. (1959), Relacoes entre populacoes natu ...;;;;;;;;;
;;;;Schmitz H.J. et al. (2007), Taxonomic Survey of Drosophili ...;;;;;;;;;
;;;;Pavan C. (1959), Relacoes entre populacoes natu ...;;;;;;;;;
;;;;Pavan C. (1959), Relacoes entre populacoes natu ...;;;;;;;;;
;;;;Saavedra C.C.R. et al. (1995), A descriptive and analytical s ...;;;;;;;;;
;;;;Valente V.L.S. et al. (1981), Observations on the attraction ...;;;;;;;;;
;;;;Vilela C.R. et al. (2002), Preliminary data on the geogra ...;;;;;;;;;
