Região;Local;Longitude;Latitude;Referência;;;;;;;;;;;;;;;;;
América do Sul;    miranda/ms;-56,46;-20,05; Sene F.M. et al. (1980); Preliminary data on the geogra ...;;;;;;;;;;;;;;;;
América do Sul;    miranda/mg;-56,19;-20,1; Vilela C.R. et al. (2002); Preliminary data on the geogra ...;;;;;;;;;;;;;;;;
América do Sul;    sao paulo estado;-48;-22; Tidon-Sklorz R. and Sene F.M. (1999); Drosophila. In: Brandao  C.R.F ...;;;;;;;;;;;;;;;;
América do Sul;    vila bela;-45;-22; da Cunha A.B. (1955);" Sobre duas racas de ""Drosophil ...";;;;;;;;;;;;;;;;
América do Sul;    barreiro rico;-48,05;-22,41; de Medeiros H.F. and Klaczko L.B. (2004); How many species of Drosophila ...;;;;;;;;;;;;;;;;
América do Sul;    bosque dos jequitibas;-47,03;-22,55; Montenegro H. et al. (2006); Male killing in three species ...;;;;;;;;;;;;;;;;
América do Sul;angra dos reis;-44,17;-22,59; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...; Napp M. and Cordeiro A.R. (1981); Interspecific relationships in ...; Throckmorton L.H. (1962); The Problem of Phylogeny in th ...;;;;;;;;;;;;
América do Sul;    vila atlantica;-46,3;-23,3; da Cunha A.B. (1955);" Sobre duas racas de ""Drosophil ...";;;;;;;;;;;;;;;;
América do Sul;    mogi das cruzes;-46,1;-23,3; Heed W.B. and Russell J.S. (1971); Phylogeny and Population Struc ...; Napp M. and Cordeiro A.R. (1981); Interspecific relationships in ...;;;;;;;;;; Drosophila species stock list ...; Yoon J.S. (1990); Drosophila species stock list ...; Yoon Z. (1996); Stock List. National Drosophil ...
América do Sul;    sao paulo;-46,39;-23,33; da Cunha A.B. (1955);" Sobre duas racas de ""Drosophil ..."; Dobzhansky T. and Pavan C. (1950); Local and seasonal variations ...; Futch D.G. (1962); Hybridization tests within the ...; Pavan C. (1952); Relacoes entre populacoes natu ...; Pavan C. (1959); Relacoes entre populacoes natu ...; Takada H. (1963); Genitalia of F1-Hybrids within ...; Yoon J.S. (1984);;;;;
América do Sul;    rio ligeiro/pa;-52,31;-23,37; Sene F.M. et al. (1980); Preliminary data on the geogra ...; Vilela C.R. et al. (2002); Preliminary data on the geogra ...;;;;;;;;;;;;;;
América do Sul;    rio ivai/pa;-52,22;-23,4; Sene F.M. et al. (1980); Preliminary data on the geogra ...; Vilela C.R. et al. (2002); Preliminary data on the geogra ...;;;;;;;;;;;;;;
América do Sul;    boraceia/sp;-43,5;-23,4; Val F.C. and Kaneshiro K.Y. (1988); Drosophilidae (Diptera) from t ...;;;;;;;;;;;;;;;;
América do Sul;    ilha bela;-45,24;-23,47; de Medeiros H.F. and Klaczko L.B. (2004); How many species of Drosophila ...;;;;;;;;;;;;;;;;
América do Sul;    sao sebastiao/sp;-45,26;-23,48; Pavan C. (1952); Relacoes entre populacoes natu ...; Pavan C. (1959); Relacoes entre populacoes natu ...;;;;;;;;;;;;;;
América do Sul;    guaratuba/sp;-45,53;-23,5; Sene F.M. et al. (1980); Preliminary data on the geogra ...; Vilela C.R. et al. (2002); Preliminary data on the geogra ...;;;;;;;;;;;;;;
América do Sul;    itanhaem;-46,47;-24,09; da Cunha A.B. (1955);" Sobre duas racas de ""Drosophil ..."; Pavan C. (1952); Relacoes entre populacoes natu ...; Pavan C. (1959); Relacoes entre populacoes natu ...;;;;;;;;;;;;
América do Sul;    rio negro/brazil;-49,46;-26,06; Vilela C.R. and da Cunha A.B. (2006); On Marta Breuer and some of he ...;;;;;;;;;;;;;;;;
América do Sul;    joinville/sc;-48,51;-26,18; Cordeiro J. et al. (2008); The LTR retrotransposon microp ...; Doge J.S. et al. (2008); Drosophilids (Diptera) from an ...; De Toni D.C. et al. (2005); First record of Drosophila par ...;;;;;;;;;;;;
América do Sul;    arvoredo;-52,41;-27,14; Cordeiro J. et al. (2008); The LTR retrotransposon microp ...; de Toni D.C. et al. (2007); Study of the Drosophilidae (Di ...;;;;;;;;;;;;;;
América do Sul;    arvoredo island;-48,21;-27,17; De Toni D.C. et al. (2001); First record of Zaprionus indi ...; de Toni D.C. et al. (2001); Reference photomap of the sali ...;;;;;;;;;;;;;;
América do Sul;    lagoa da conceicao;-48,21;-27,18; de Toni D.C. and Hofmann P.R.P. (1995); Preliminary taxonomic survey o ...; de Toni D.C. et al. (2001); Reference photomap of the sali ...;;;;;;;;;;;;;;
América do Sul;    ratones;-48,3;-27,27; Schmitz H.J. et al. (2007); Taxonomic Survey of Drosophili ...;;;;;;;;;;;;;;;;
América do Sul;    ratones grande;-48,37;-27,29; de Toni D.C. et al. (2001); Reference photomap of the sali ...; de Toni D.C. et al. (2007); Study of the Drosophilidae (Di ...; De Toni D.C. et al. (2001); First record of Zaprionus indi ...;;;;;;;;;;;;
América do Sul;    ratones pequeno;-48,34;-27,29; de Toni D.C. et al. (2001); Reference photomap of the sali ...; de Toni D.C. et al. (2007); Study of the Drosophilidae (Di ...;;;;;;;;;;;;;;
América do Sul;    ratones pequeno island;-48,34;-27,3; De Toni D.C. et al. (2001); First record of Zaprionus indi ...;;;;;;;;;;;;;;;;
América do Sul;    florianopolis/sc;-48,32;-27,35; Gottschalk M.S. et al. (2007); Changes in Brazilian Drosophil ...;;;;;;;;;;;;;;;;
América do Sul;    florianopolis;-48,31;-27,35; Cordeiro J. et al. (2008); The LTR retrotransposon microp ...; Schmitz H.J. et al. (2007); Taxonomic Survey of Drosophili ...; Cordeiro J. et al. (2008); The LTR retrotransposon microp ...;;;;;;;;;;;;
América do Sul;    morro da lagoa;-48,29;-27,35; de Toni D.C. et al. (2007); Study of the Drosophilidae (Di ...;;;;;;;;;;;;;;;;
América do Sul;    campeche/sc;-48,29;-27,41; de Toni D.C. et al. (2007); Study of the Drosophilidae (Di ...;;;;;;;;;;;;;;;;
América do Sul;    campeche island;-48,28;-27,41; De Toni D.C. et al. (2001); First record of Zaprionus indi ...; de Toni D.C. et al. (2001); Reference photomap of the sali ...;;;;;;;;;;;;;;
América do Sul;    ilha de santa catarina;-48,3;-27,42; Vilela C.R. et al. (2002); Preliminary data on the geogra ...; Cordeiro J. et al. (2008); The LTR retrotransposon microp ...; Sene F.M. et al. (1980); Preliminary data on the geogra ...;;;;;;;;;;;;
América do Sul;    serra do tabuleiro;-48,48;-27,44; de Toni D.C. et al. (2001); Reference photomap of the sali ...; de Toni D.C. et al. (2007); Study of the Drosophilidae (Di ...; de Toni D.C. et al. (2007); Study of the Drosophilidae (Di ...;;;;;;;;;;;;
América do Sul;    sertao da lagoa do peri;-48,33;-27,45; de Toni D.C. et al. (2001); Reference photomap of the sali ...; de Toni D.C. et al. (2007); Study of the Drosophilidae (Di ...;;;;;;;;;;;;;;
América do Sul;    restinga/rgs;-53,25;-29,55; Napp M. and Cordeiro A.R. (1978); Genetic variability and disequ ...;;;;;;;;;;;;;;;;
América do Sul;    tramandai/rs;-50,13;-29,55; Sene F.M. et al. (1980); Preliminary data on the geogra ...; Vilela C.R. et al. (2002); Preliminary data on the geogra ...;;;;;;;;;;;;;;
América do Sul;    porto alegre/rs;-51,13;-30,01; Garcia A.C.L. et al. (2009); Spatial and temporal variation ...; Robe L.J. et al. (2010); Taxonomic boundaries  phylogen ...;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;
