region,site,longitude,latitude,ref
Central America,el volcan/panama, -82.40,8.45 , Pipkin S.B. (1965)
Central America,boquete, -82.28,8.46 , Heed W.B. and Russell J.S. (1971)
Central America,almirante, -82.22,9.20 , Pipkin S.B. (1965)
Central America,cerro campana, -81.17,8.26 , Pipkin S.B. (1965)
Central America,el valle/panama, -80.08,8.36 , Pipkin S.B. (1965)
Central America,goofy lake, -80.00,11.00 , Pipkin S.B. (1965)
Central America,madden forest, -80.00,11.00 , Pipkin S.B. (1965)
Central America,fort sherman, -79.57,9.21 , Pipkin S.B. (1965)
Central America,capira, -79.51,8.48 , Pipkin S.B. (1965)
Central America,barro colorado, -79.50,9.08 , Pipkin S.B. (1965)
Central America,frijoles, -79.48,9.11 , Pipkin S.B. (1965)
Central America,camaron, -79.34,8.59 , Pipkin S.B. (1965)
Central America,panama, -79.00,9.00 , Sturtevant A.H. (1916)
Central America,panama, -79.00,9.00 , Sturtevant A.H. (1921)
Central America,el real/panama, -77.42,8.06 , Pipkin S.B. (1965)
Caribbean,cristo,-88.21,23.08, Sturtevant A.H. (1916)
Caribbean,cristo,-88.21,23.08, Sturtevant A.H. (1921)
Caribbean,herradura/cuba,-83.25,22.31, Sturtevant A.H. (1916)
Caribbean,herradura/cuba,-83.25,22.31, Sturtevant A.H. (1921)
Caribbean,havana/cuba,-82.25,23.07, Bachli G. (1988)
Caribbean,havana/cuba,-82.25,23.07, MSNM Collection (1986)
Caribbean,havana/cuba,-82.25,23.07, Stalker H.D. (1953)
Caribbean,havana/cuba,-82.25,23.07, Sturtevant A.H. (1916)
Caribbean,havana/cuba,-82.25,23.07, Sturtevant A.H. (1921)
Caribbean,havana/cuba,-82.25,23.07, Vilela C.R. et al. (2002)
Caribbean,havana/cuba,-82.25,23.07, Wheeler M.R. (1970)
Caribbean,georgetown/cayman,-81.23,19.2, Heed W.B. and Russell J.S. (1971)
Caribbean,grand cayman,-81.15,19.2, Yoon J.S. (1990)
Caribbean,grand cayman,-81.15,19.2, Yoon Z. (1996)
Caribbean,aguada pasajeros,-81.07,22.31, Sturtevant A.H. (1916)
Caribbean,aguada pasajeros,-81.07,22.31, Sturtevant A.H. (1921)
Caribbean,jamaica,-78,18, Gowdey C.C. (1926)
Caribbean,jamaica,-78,18, Napp M. and Cordeiro A.R. (1981)
Caribbean,contramaestre,-77.55,21.11, Heed W.B. and Russell J.S. (1971)
Caribbean,contramaestre,-77.55,21.11, Yoon J.S. (1984)
Caribbean,contramaestre,-77.55,21.11, Yoon J.S. (1990)
Caribbean,contramaestre,-77.55,21.11, Yoon Z. (1996)
Caribbean,hermitage/jamaica,-77.53,18.16, Heed W.B. and Russell J.S. (1971)
Caribbean,cuba,-77.45,21.3, Brisson J.A. et al. (2006)
Caribbean,cuba,-77.45,21.3, Metz C.W. (1916)
Caribbean,porus/jamaica,-77.25,18.02, Johnson C.W. (1919)
Caribbean,strawberry hills/jamaica,-77,18, Heed W.B. and Russell J.S. (1971)
Caribbean,puerto rico,-77,18, Heed W.B. (1957)
Caribbean,puerto rico,-77,18, Levins R. (1969)
Caribbean,puerto rico,-77,18, Napp M. and Cordeiro A.R. (1981)
Caribbean,rio piedras/pr,-77,18, Townsend J.I. and Wheeler M.R. (1955)
Caribbean,constant spring,-76.48,18.03, Heed W.B. and Russell J.S. (1971)
Caribbean,constant spring,-76.48,18.03, Yoon J.S. (1984)
Caribbean,santiago de las vegas,-75,20, Sturtevant A.H. (1916)
Caribbean,santiago de las vegas,-75,20, Sturtevant A.H. (1921)
Caribbean,petionville,-72.2,18.3, Heed W.B. and Russell J.S. (1971)
Caribbean,petionville,-72.2,18.3, Yoon J.S. (1984)
Caribbean,petionville,-72.2,18.3, Yoon J.S. (1990)
Caribbean,petionville,-72.2,18.3, Yoon Z. (1996)
Caribbean,constanza,-70.3,19.15, Brisson J.A. et al. (2006)
Caribbean,finquita,-70,18.3, Brisson J.A. et al. (2006)
Caribbean,sanchez/rd,-69.36,19.15, Sturtevant A.H. (1916)
Caribbean,sanchez/rd,-69.36,19.15, Sturtevant A.H. (1921)
Caribbean,mayaguez/pr,-67.09,18.13, Futch D.G. (1962)
Caribbean,mayaguez/pr,-67.09,18.13, Heed W.B. and Russell J.S. (1971)
Caribbean,mayaguez/pr,-67.09,18.13, Martinez Pico M. et al. (1965)
Caribbean,mayaguez/pr,-67.09,18.13, Sturtevant A.H. (1916)
Caribbean,mayaguez/pr,-67.09,18.13, Sturtevant A.H. (1921)
Caribbean,arecibo/pr,-66.44,18.29, Sturtevant A.H. (1916)
Caribbean,arecibo/pr,-66.44,18.29, Sturtevant A.H. (1921)
Caribbean,adjuntas,-66.42,18.1, Sturtevant A.H. (1916)
Caribbean,adjuntas,-66.42,18.1, Sturtevant A.H. (1921)
Caribbean,jayuya,-66.34,18.13, Sturtevant A.H. (1916)
Caribbean,jayuya,-66.34,18.13, Sturtevant A.H. (1921)
Caribbean,caribbean forest,-66,18.1, Townsend J.I. and Wheeler M.R. (1955)
Caribbean,maraval/trinidad,-61.31,10.42, Heed W.B. and Russell J.S. (1971)
Caribbean,trinidad/west,-61.3,10.3, Heed W.B. (1957)
Caribbean,trinidad/west,-61.3,10.3, Johnson F.M. et al. (1966)
Caribbean,trinidad/west,-61.3,10.3, Napp M. and Cordeiro A.R. (1981)
Caribbean,dominica/west,-61.22,15.25, Heed W.B. (1957)
Caribbean,dominica/west,-61.22,15.25, Sturtevant A.H. (1916)
Caribbean,dominica/west,-61.22,15.25, Sturtevant A.H. (1921)
Caribbean,saint vincent/west,-61.12,13.15, Vilela C.R. and Bachli G. (1990)
Caribbean,saint lucia/west,-61,14, Heed W.B. (1957)
Caribbean,martinique,-61,14.35, Davis J.R. and Capy P. (1983)
,,,,
,,,,
,,,,
,,,,
