region,site,longitude,latitude,ref
South America,Vale do Paranã,-46.45,-13.39,Mata et al.
South America,pisco,-76.12,-13.46,Heed W.B. and Russell J.S. (1971)
South America,pisco,-76.12,-13.46,Napp M. and Cordeiro A.R. (1981)
South America,pisco,-76.12,-13.46,Yoon J.S. (1984)
South America,pisco,-76.12,-13.46,Yoon J.S. (1990)
South America,pisco,-76.12,-13.46,Yoon Z. (1996)
South America,cavalcante/go,-47.30,-13.48,Chaves N.B. and Tidon R. (2008)
South America,pisco,-76.15,-13.49,Yoon Z. (1996)
South America,tangara da serra/mg, -57.03,-14.04,Blauth M.L. and Gottschalk M.S. (2007)
South America,Vale do Paranã,-46.47,-14.31,Mata et al.
South America,sao joao da alinanca/go,-47.30,-14.36 ,Chaves N.B. and Tidon R. (2008)
South America,chapada dos guimaraes/mt,-55.58,-14.49,Roque F. and Tidon R. (2008)
South America,fazenda trijuncao/ba,-45.59,-14.49 ,Roque F. and Tidon R. (2008)
South America,fazenda trijuncao/ba, -45.58,-14.49 ,Roque F. and Tidon R. (2008)
South America,sarampioni,-75.00,-15.00,Duda O. (1927)
South America,lorenzopata,-68.00,-15.00,Duda O. (1927)
South America,chapada dos guimaraes/mt,-55.49,-15.24 ,Roque F. and Tidon R. (2008)
South America,ESECAE,-47.39,-15.34,Emerich
South America,Planaltina,-47.24,-15.35,Emerich et al.
South America,sobradinho/df,-47.47,-15.37,Roque F. et al. (2009)
South America,brasilia park,-47.54,-15.40,Tidon R. (2006)
South America,pnb/df,-47.54,-15.40 ,Chaves N.B. and Tidon R. (2008)
South America,Planaltina,-47.29,-15.4,Emerich et al.
South America,RECOR ,-47.5,-15.46,Figueiredo (dissertação
South America,brasilia/df,-47.59,-15.47,Chaves N.B. and Tidon R. (2008)
South America,brasilia/df, -47.59,-15.47 ,Dobbin B.F. and Tidon R. (2004)
South America,brasilia/df,-47.59,-15.47,Ferreira L.B. and Tidon R. (2005)
South America,brasilia/df,-47.59,-15.47,Roque F. et al. (2006)
South America,brasilia/df,-47.59,-15.47,Vilela C.R. et al. (2002)
South America,cerrado,-47.59,-15.47,Cahaves N.B. and Tidon R. (2005)
South America,brasilia/df,-47.57,-15.47,Ferreira L.B. and Tidon R. (2005)
South America,brasilia/df,-47.57,-15.47,Roque F. et al. (2006)
South America,brasilia/df,-47.57,-15.47,Vilela C.R. et al. (2002)
South America,brasilia/df,-47.57,-15.47,Cahaves N.B. and Tidon R. (2005)
South America,RECOR,-47.52,-15.55,Roque & Tidon
South America,jbb/df, -47.50,-15.55 ,Chaves N.B. and Tidon R. (2008)
South America,recor reserve,-47.53,-15.56 ,Leao B F.D. and Tidon R. (2004)
South America,recor reserve,-47.53,-15.56 ,Tidon R. (2006)
South America,recor/df,-47.53,-15.56 ,Chaves N.B. and Tidon R. (2008)
South America,recor reserve,-47.53,-15.56 ,Chaves N.B. and Tidon R. (2008)
South America,RECOR ,-47.52,-15.56,Figueiredo (dissertação
South America,serra dourada/go, -50.07,-15.57,Roque F. and Tidon R. (2008)
South America,coroico,-67.45,-16.09 ,Duda O. (1927)
South America,serra do cipo/mg,-43.35,-16.16,Tidon-Sklorz et al.
South America,grao mogol,-42.50,-16.32,Tidon-Sklorz R. and de Melo Sene F. (1995)
South America,grao mogol/mg,-42.50,-16.32,Tidon-Sklorz R. and de Melo Sene F. (1995)
South America,paracatu/mg, -46.52,-17.14 ,Chaves N.B. and Tidon R. (2008)
