species,region,site,longitude,latitude,ref
willistoni,South America,georgetown/guyana,-58.1,6.46, Spassky B. et al. (1971)
willistoni,South America,eldorado/venezuela,-61.37,6.45, Ayala F.J. et al. (1974)
willistoni,South America,malaga/colombia,-72.45,6.44, Ayala F.J. et al. (1972)
willistoni,South America,tame,-71.42,6.27, Atrian-Ventura S. and Gonzalez-Duarte R. (1982)
willistoni,South America,tame,-71.42,6.27, Ayala F.J. et al. (1971)
willistoni,South America,tame,-71.42,6.27, Corneo G. et al. (1980)
willistoni,South America,betoyes,-71.12,6.27, Ayala F.J. et al. (1971)
willistoni,South America,kanuku,-60,6, Ayala F.J. et al. (1972)
willistoni,South America,barinitas,-70.26,5.45, Ayala F.J. et al. (1974)
willistoni,South America,puerto ayacucho,-67.32,5.39, Ayala F.J. et al. (1972)
willistoni,South America,puerto ayacucho,-67.32,5.39, Perez-Salas S. (1970)
willistoni,South America,puerto ayacucho,-67.32,5.39, Spassky B. et al. (1971)
willistoni,South America,choco,-76.49,5.15, Spassky B. et al. (1971)
willistoni,South America,san juan de manapiare,-66.07,5.06, Richmond R.C. and Dobzhansky T. (1976)
willistoni,South America,villeta/colombia,-74.28,5.01, Hunter A.S. (1966)
willistoni,South America,sierra nevada de s. m.,-75,5, da Cunha A.B. et al. (1959)
willistoni,South America,sierra nevada de s. m.,-75,5, Dobzhansky T. (1957)
willistoni,South America,villa cristina,-75,5, Hoenigsberg H.F. et al. (1977)
willistoni,South America,guyana,-58,5, Ayala F.J. (1970)
willistoni,South America,skeldon,-58,5, Spassky B. et al. (1971)
willistoni,South America,melgar,-74.1,4.5, Hoenigsberg H.F. et al. (1977)
willistoni,South America,mesitas/colombia,-71.1,4.5, Hoenigsberg H.F. et al. (1977)
willistoni,South America,mesitas/colombia,-71.1,4.5, Hoenigsberg H.F. et al. (1977)
willistoni,South America,mesitas/colombia,-71.1,4.5, Hoenigsberg H.F. et al. (1977)
willistoni,South America,mesitas/colombia,-71.1,4.5, Hoenigsberg H.F. et al. (1982)
willistoni,South America,santa elena uairen,-61.07,4.37, Spassky B. et al. (1971)
willistoni,South America,santa elena/venezuela,-61.07,4.37, Malogolowkin-Cohen C. et al. (1964)
willistoni,South America,santa elena/venezuela,-61.07,4.37, Perez-Salas S. (1970)
willistoni,South America,ibague,-75.2,4.25, Hoenigsberg H.F. et al. (1965)
willistoni,South America,fusagasuga,-74.21,4.22, Hunter A.S. and Navarro A. (1969)
willistoni,South America,mesas,-74.45,4.2, Hoenigsberg H.F. et al. (1982)
willistoni,South America,girardot,-74.47,4.19, Hoenigsberg H.F. et al. (1983)
willistoni,South America,girardot,-74.47,4.19, Hunter A.S. (1966)
willistoni,South America,villavicencio,-73.38,4.09, da Cunha A.B. et al. (1959)
willistoni,South America,san fernando de atabapo,-67.45,4.03, Spassky B. et al. (1971)
willistoni,South America,valparaiso/colombia,-75,4, Ayala F.J. (1970)
willistoni,South America,valparaiso/colombia,-75,4, Ayala F.J. et al. (1972)
willistoni,South America,valparaiso/colombia,-75,4, Hoenigsberg H.F. et al. (1973)
willistoni,South America,valparaiso/colombia,-75,4, Spassky B. et al. (1971)
willistoni,South America,apoteri,-58.53,4, Malogolowkin-Cohen C. et al. (1964)
willistoni,South America,apoteri,-58.53,4, Perez-Salas S. (1970)
willistoni,South America,apoteri,-58.53,4, Spassky B. et al. (1971)
willistoni,South America,buenaventura/colombia,-77.02,3.54, da Cunha A.B. et al. (1959)
willistoni,South America,buenaventura/colombia,-77.02,3.54, Krimbas C.B. (1959)
willistoni,South America,buenaventura/colombia,-77.02,3.54, Spassky B. et al. (1971)
willistoni,South America,palmira,-76.17,3.33, da Cunha A.B. et al. (1959)
willistoni,South America,palmira,-76.17,3.33, Krimbas C.B. (1959)
willistoni,South America,palmira,-76.17,3.33, Spassky B. et al. (1971)
willistoni,South America,macarena,-74.3,3, Hoenigsberg H.F. et al. (1973)
willistoni,South America,macarena,-74.3,3, Hoenigsberg H.F. et al. (1977)
willistoni,South America,macarena,-74.3,3, Hoenigsberg H.F. et al. (1977)
willistoni,South America,macarena,-74.3,3, Hoenigsberg H.F. et al. (1982)
willistoni,South America,macarena,-74.3,3, Hoenigsberg H.F. et al. (1983)
willistoni,South America,kanuku mountains,-59.3,3, Spassky B. et al. (1971)
willistoni,South America,la macarena,-73.57,2.03, Ayala F.J. (1970)
willistoni,South America,la macarena,-73.57,2.03, Ayala F.J. et al. (1972)
willistoni,South America,la macarena,-73.57,2.03, Spassky B. et al. (1971)
willistoni,South America,mucajai,-67,2, da Cunha A.B. and Dobzhansky T. (1954)
willistoni,South America,mucajai,-67,2, da Cunha A.B. et al. (1959)
willistoni,South America,mucajai,-67,2, Dobzhansky T. et al. (1950)
willistoni,South America,mucajai,-67,2, Pavan C. and Knapp E.N. (1954)
willistoni,South America,mucajai,-67,2, Spassky B. et al. (1971)
willistoni,South America,tracajatuba,-50,2, Ayala F.J. et al. (1972)
willistoni,South America,tracajatuba,-50,2, Spassky B. et al. (1971)
willistoni,South America,mitu,-70.05,1.07, Ayala F.J. (1970)
willistoni,South America,mitu,-70.05,1.07, Ayala F.J. et al. (1972)
willistoni,South America,mitu,-70.05,1.07, Hoenigsberg H.F. et al. (1973)
willistoni,South America,mitu,-70.05,1.07, Perez-Salas S. (1970)
willistoni,South America,mitu,-70.05,1.07, Spassky B. et al. (1971)
willistoni,South America,ocamo,-73,1, Ayala F.J. et al. (1972)
willistoni,South America,ocamo,-73,1, Perez-Salas S. (1970)
willistoni,South America,ocamo,-73,1, Spassky B. et al. (1971)
willistoni,South America,uraricuara,-66,1, Spassky B. et al. (1971)
willistoni,South America,serra do navio,-52.05,1, de Toledo Cardoso de Mello J. (1971)
willistoni,South America,esmeraldas,-79.4,0.56, Acurio A. and Rafael V. (2009)
willistoni,South America,orellana,-76.05,0.53, Acurio A. and Rafael V. (2009)
willistoni,South America,ferreira gomez,-51.08,0.52, da Cunha A.B. and Dobzhansky T. (1954)
willistoni,South America,ferreira gomez,-51.08,0.52, da Cunha A.B. et al. (1959)
willistoni,South America,guayabero,-70.59,0.08, Ayala F.J. and Tracey M.L. (1973)
willistoni,South America,guayabero,-70.59,0.08, Ayala F.J. et al. (1971)
willistoni,South America,macapa,-51.04,0.04, Ayala F.J. et al. (1972)
willistoni,South America,macapa,-51.04,0.04, Spassky B. et al. (1971)
willistoni,South America,guayllabamba,-78.22,0.03, Rafael V. et al. (2000)
willistoni,South America,foz de caiari,-66,0, da Cunha A.B. and Dobzhansky T. (1954)
willistoni,South America,foz de caiari,-66,0, da Cunha A.B. et al. (1959)
willistoni,South America,congacari do tracua,-51,0, de Toledo Cardoso de Mello J. (1971)
willistoni,South America,ilha marajo,-50,0, Pavan C. (1950)
willistoni,South America,marajo,-50,0, da Cunha A.B. and Dobzhansky T. (1954)
willistoni,South America,marajo,-50,0, da Cunha A.B. et al. (1950)
willistoni,South America,marajo,-50,0, da Cunha A.B. et al. (1959)
willistoni,South America,marajo,-50,0, Dobzhansky T. (1965)
willistoni,South America,marajo,-50,0, Dobzhansky T. et al. (1950)
willistoni,South America,marajo,-50,0, Rizki M.T.M. (1955)
willistoni,South America,marajo,-50,0, Townsend J.I. (1952)
willistoni,South America,el quinche,-78.18,-0.07, Rafael V. et al. (2000)
willistoni,South America,uaupes,-67.05,-0.07, Spassky B. et al. (1971)
willistoni,South America,santo domingo/ecuador,-79.09,-0.13, Ayala F.J. et al. (1972)
willistoni,South America,santo domingo/ecuador,-79.09,-0.13, da Cunha A.B. et al. (1959)
willistoni,South America,santo domingo/ecuador,-79.09,-0.13, Dobzhansky T. (1965)
willistoni,South America,santo domingo/ecuador,-79.09,-0.13, Spassky B. et al. (1971)
willistoni,South America,icana,-67.22,-0.23, Ayala F.J. et al. (1972)
willistoni,South America,icana,-67.22,-0.23, da Cunha A.B. and Dobzhansky T. (1954)
willistoni,South America,icana,-67.22,-0.23, da Cunha A.B. et al. (1959)
willistoni,South America,icana,-67.22,-0.23, Dobzhansky T. (1965)
willistoni,South America,icana,-67.22,-0.23, Nolte D.J. (1958)
willistoni,South America,icana,-67.22,-0.23, Oelshlegel F.J. and Brewer G.J. (1975)
willistoni,South America,icana,-67.22,-0.23, Rizki M.T.M. (1955)
willistoni,South America,icana,-67.22,-0.23, Spassky B. et al. (1971)
willistoni,South America,icana,-67.22,-0.23, Vetukhiv M. (1954)
willistoni,South America,tapuruquara,-65.01,-0.23, Ayala F.J. et al. (1972)
willistoni,South America,tapuruquara,-65.01,-0.23, Spassky B. et al. (1971)
willistoni,South America,baltra,-90.15,-0.27, Linsley E.G. and Usinger R.L. (1966)
willistoni,South America,puerto cayo,-80,-0.3, Rafael V. et al. (2000)
willistoni,South America,sucumbios,-80,-0.3, Acurio A. and Rafael V. (2009)
willistoni,South America,sucumbios,-80,-0.3, Rafael V. and Vela D. (2000)
willistoni,South America,parque nacional yasuni,-76.23,-0.39, Acurio A.E. and Rafael V.L. (2009)
willistoni,South America,soure,-48.3,-0.4, Burla H. et al. (1949)
willistoni,South America,pichincha,-75.21,-0.45, Acurio A. and Rafael V. (2009)
willistoni,South America,galapagos,-90.05,-0.5, Acurio A. and Rafael V. (2009)
