,species,region,site,longitude,latitude,ref
75,cardini,South America,ibotirama/ba,-43.07,-12.18,Vilela C.R. et al. (2002)
76,cardini,South America,cachoeira/monteiros/ba,-51.38,-12.25, Vilela C.R. et al. (2002)
77,cardini,South America,vilhena/ro,-60.16,-12.29,Chaves N.B. and Tidon R. (2008)
78,cardini,South America,milagres/ba,-39.53,-12.51, Vilela C.R. et al. (2002)
79,cardini,South America,parana/to,-47.37,-12.52,da Mata R.A. et al. (2008)
80,cardini,South America,Vale do Paranã,-47.37,-12.52,da Mata R.A. et al. (2008)
81,cardini,South America,andarai,-41.2,-12.59,Tidon-Sklorz R. and de Melo Sene F. (1995)
82,cardini,South America,umahuankilia,-72.0,-13.0,Duda O. (1927)
83,cardini,South America,mucuge/sp,-41.22,-13.0,Tidon-Sklorz R. and de Melo Sene F. (1995)
84,cardini,South America,mucuge/sp,-41.22,-13.0,Tidon-Sklorz R. and de Melo Sene F. (1995)
85,cardini,South America,Vale do Paranã,-46.45,-13.39,Mata et al.
86,cardini,South America,pisco,-76.12,-13.46,Heed W.B. and Russell J.S. (1971)
87,cardini,South America,pisco,-76.12,-13.46,Napp M. and Cordeiro A.R. (1981)
88,cardini,South America,pisco,-76.12,-13.46,Yoon J.S. (1984)
89,cardini,South America,pisco,-76.12,-13.46,Yoon J.S. (1990)
90,cardini,South America,pisco,-76.12,-13.46,Yoon Z. (1996)
91,cardini,South America,cavalcante/go,-47.3,-13.48,Chaves N.B. and Tidon R. (2008)
92,cardini,South America,pisco,-76.15,-13.49,Yoon Z. (1996)
93,cardini,South America,tangara da serra/mg,-57.03,-14.04,Blauth M.L. and Gottschalk M.S. (2007)
94,cardini,South America,Vale do Paranã,-46.47,-14.31,Mata et al.
95,cardini,South America,sao joao da alinanca/go,-47.3,-14.36,Chaves N.B. and Tidon R. (2008)
96,cardini,South America,chapada dos guimaraes/mt,-55.58,-14.49,Roque F. and Tidon R. (2008)
97,cardini,South America,fazenda trijuncao/ba,-45.59,-14.49,Roque F. and Tidon R. (2008)
98,cardini,South America,fazenda trijuncao/ba,-45.58,-14.49,Roque F. and Tidon R. (2008)
99,cardini,South America,sarampioni,-75.0,-15.0,Duda O. (1927)
100,cardini,South America,lorenzopata,-68.0,-15.0,Duda O. (1927)
101,cardini,South America,chapada dos guimaraes/mt,-55.49,-15.24,Roque F. and Tidon R. (2008)
102,cardini,South America,ESECAE,-47.39,-15.34,Emerich
103,cardini,South America,Planaltina,-47.24,-15.35,Emerich et al.
104,cardini,South America,sobradinho/df,-47.47,-15.37,Roque F. et al. (2009)
105,cardini,South America,brasilia park,-47.54,-15.4,Tidon R. (2006)
106,cardini,South America,pnb/df,-47.54,-15.4,Chaves N.B. and Tidon R. (2008)
107,cardini,South America,Planaltina,-47.29,-15.4,Emerich et al.
108,cardini,South America,RECOR ,-47.5,-15.46,Figueiredo (dissertação
109,cardini,South America,brasilia/df,-47.59,-15.47,Chaves N.B. and Tidon R. (2008)
110,cardini,South America,brasilia/df,-47.59,-15.47,Dobbin B.F. and Tidon R. (2004)
111,cardini,South America,brasilia/df,-47.59,-15.47,Ferreira L.B. and Tidon R. (2005)
112,cardini,South America,brasilia/df,-47.59,-15.47,Roque F. et al. (2006)
113,cardini,South America,brasilia/df,-47.59,-15.47,Vilela C.R. et al. (2002)
114,cardini,South America,cerrado,-47.59,-15.47,Cahaves N.B. and Tidon R. (2005)
115,cardini,South America,brasilia/df,-47.57,-15.47,Ferreira L.B. and Tidon R. (2005)
116,cardini,South America,brasilia/df,-47.57,-15.47,Roque F. et al. (2006)
117,cardini,South America,brasilia/df,-47.57,-15.47,Vilela C.R. et al. (2002)
118,cardini,South America,brasilia/df,-47.57,-15.47,Cahaves N.B. and Tidon R. (2005)
119,cardini,South America,RECOR,-47.52,-15.55,Roque & Tidon
120,cardini,South America,jbb/df,-47.5,-15.55,Chaves N.B. and Tidon R. (2008)
121,cardini,South America,recor reserve,-47.53,-15.56,Leao B F.D. and Tidon R. (2004)
122,cardini,South America,recor reserve,-47.53,-15.56,Tidon R. (2006)
123,cardini,South America,recor/df,-47.53,-15.56,Chaves N.B. and Tidon R. (2008)
124,cardini,South America,recor reserve,-47.53,-15.56,Chaves N.B. and Tidon R. (2008)
125,cardini,South America,RECOR ,-47.52,-15.56,Figueiredo (dissertação
126,cardini,South America,serra dourada/go,-50.07,-15.57,Roque F. and Tidon R. (2008)
127,cardini,South America,coroico,-67.45,-16.09,Duda O. (1927)
128,cardini,South America,serra do cipo/mg,-43.35,-16.16,Tidon-Sklorz et al.
129,cardini,South America,grao mogol,-42.5,-16.32,Tidon-Sklorz R. and de Melo Sene F. (1995)
130,cardini,South America,grao mogol/mg,-42.5,-16.32,Tidon-Sklorz R. and de Melo Sene F. (1995)
131,cardini,South America,paracatu/mg,-46.52,-17.14,Chaves N.B. and Tidon R. (2008)
132,cardini,South America,Paracatu,-47.16,-17.24,Chaves N.B. and Tidon R. (2008)
133,cardini,South America,Paracatu,-47.2,-17.29,Chaves N.B. and Tidon R. (2008)
134,cardini,South America,catalao/go,-47.38,-17.33,Chaves N.B. and Tidon R. (2008)
135,cardini,South America,Paracatu,-47.09,-17.33,Chaves N.B. and Tidon R. (2008)
136,cardini,South America,Paracatu,-47.08,-17.34,Chaves N.B. and Tidon R. (2008)
137,cardini,South America,catalao/go,-47.28,-17.38,Chaves N.B. and Tidon R. (2008)
138,cardini,South America,santa cruz/bolivia,-63.14,-17.45,Heed W.B. and Russell J.S. (1971)
139,cardini,South America,san ernesto/bolivia,-60.0,-18.0,Duda O. (1927)
140,cardini,South America,emas/go,-52.53,-18.15,Roque F. and Tidon R. (2008)
141,cardini,South America,camarones,-70.2,-18.3,Brncic D. (1987)
142,cardini,South America,serra do cipo/mg,-43.4,-19.0,Chaves N.B. and Tidon R. (2008)
143,cardini,South America,serra do cipo/mg,-43.37,-19.16,Tidon-Sklorz et al.
144,cardini,South America,serra do cipo,-43.35,-19.17,Tidon-Sklorz R. et al. (1994)
145,cardini,South America,serra do cipo,-43.35,-19.17,Vilela C.R. and Mori L. (1999)
146,cardini,South America,serra do cipo/mg,-43.34,-19.17,Tidon-Sklorz et al.
147,cardini,South America,serra do cipo/mg,-43.33,-19.17,Tidon-Sklorz et al.
148,cardini,South America,serra do cipo/mg,-43.33,-19.17,Vilela & Mori
149,cardini,South America,serra do cipo/mg,-43.36,-19.18,Tidon-Sklorz et al.
150,cardini,South America,serra do cipo/mg,-43.34,-19.18,Tidon-Sklorz et al.
151,cardini,South America,serra do cipo/mg,-43.33,-19.2,Vilela & Mori
152,cardini,South America,serra do cipo/mg,-43.38,-19.21,Tidon-Sklorz et al.
153,cardini,South America,serra do cipo/mg,-43.38,-19.21,Vilela & Mori
154,cardini,South America,Paracatu,-47.15,-19.29,Chaves N.B. and Tidon R. (2008)
155,cardini,South America,lagoa santa/mg,-43.55,-19.39,Chaves N.B. and Tidon R. (2008)
156,cardini,South America,lagoa santa/mg,-43.55,-19.39,Vilela C.R. et al. (2002)
157,cardini,South America,miranda/mg,-56.46,-20.05,Vilela C.R. et al. (2002)
158,cardini,South America,miranda/mg,-56.19,-20.1,Vilela C.R. et al. (2002)
159,cardini,South America,campo grande/ms,-54.34,-20.41,Chaves N.B. and Tidon R. (2008)
160,cardini,South America,campo grande/ms,-54.34,-20.41,Vilela C.R. et al. (2002)
161,cardini,South America,olimpia,-48.55,-20.43,Pires D.J. and Belo M. (2005)
162,cardini,South America,serrana/sp,-47.35,-21.13,Mateus R.P. et al. (2006)
163,cardini,South America,jaboticabal,-48.17,-21.15,Pires D.J. and Belo M. (2005)
164,cardini,South America,sao paulo estado,-48.0,-22.0,Tidon-Sklorz R. and Sene F.M. (1999)
165,cardini,South America,monte alto,-47.0,-22.0,Pires D.J. and Belo M. (2005)
166,cardini,South America,sao carlos/sp,-45.53,-22.03,Vilela C.R. et al. (2002)
167,cardini,South America,bela vista/ms,-56.32,-22.05,Chaves N.B. and Tidon R. (2008)
168,cardini,South America,bela vista/ms,-56.32,-22.05,Sene F.M. et al. (1980)
169,cardini,South America,bela vista/ms,-56.32,-22.05,Vilela C.R. et al. (2002)
170,cardini,South America,bela vista/ms,-56.32,-22.05,Vilela C.R. et al. (2002)
171,cardini,South America,caracol/ms,-56.47,-22.13,Chaves N.B. and Tidon R. (2008)
172,cardini,South America,caracol/ms,-56.47,-22.13,Vilela C.R. et al. (2002)
173,cardini,South America,itirapina,-47.48,-22.16,Mateus R.P. et al. (2006)
174,cardini,South America,brotas,-47.57,-22.17,Pires D.J. and Belo M. (2005)
175,cardini,South America,mogi-guacu/sp,-47.12,-22.17,Sene F.M. et al. (1980)
176,cardini,South America,mogi-guacu/sp,-47.12,-22.17,Sene F.M. et al. (1981)
177,cardini,South America,mogi-guacu/sp,-47.12,-22.17,Vilela C.R. et al. (2002)
178,cardini,South America,mogi-guacu/sp,-47.12,-22.17,Vilela C.R. et al. (2002)
179,cardini,South America,santa maria da serra,-48.1,-22.34,Mateus R.P. et al. (2006)
180,cardini,South America,barreiro rico,-48.05,-22.41,de Medeiros H.F. and Klaczko L.B. (2004)
181,cardini,South America,cabo frio/rj,-42.02,-22.56,Vilela C.R. et al. (2002)
182,cardini,South America,itatiba,-46.51,-22.59,Mateus R.P. et al. (2006)
183,cardini,South America,angra dos reis,-44.17,-22.59,Heed W.B. and Russell J.S. (1971)
184,cardini,South America,arraial do cabo/rj,-42.01,-22.59,Vilela C.R. et al. (2002)
185,cardini,South America,cabreuva/sp,-47.1,-23.15,Vilela C.R. et al. (2002)
