species,region,site,longitude,latitude,ref
polymorpha,South America,brasilia/df,-47.59,-15.47, Chaves N.B. and Tidon R. (2008)
polymorpha,South America,jbb/df,-47.5,-15.55, Chaves N.B. and Tidon R. (2008)
polymorpha,,RECOR,-47.52,-15.55,
polymorpha,South America,recor reserve,-47.53,-15.56, Leao B F.D. and Tidon R. (2004)
polymorpha,,RECOR ,-47.52,-15.56,
polymorpha,South America,catuni,-43.19,-16.15, Pavan C. (1952)
polymorpha,South America,anapolis,-48.58,-16.19, Pavan C. (1952)
polymorpha,South America,grao mogol,-42.5,-16.32, Tidon-Sklorz R. and de Melo Sene F. (1995)
polymorpha,South America,montes claros,-43.52,-16.45, Heed W.B. (1963)
polymorpha,South America,paracatu/mg,-46.52,-17.14, Chaves N.B. and Tidon R. (2008)
polymorpha,,Paracatu,-47.16,-17.24,
polymorpha,,Paracatu,-47.2,-17.29,
polymorpha,,Paracatu,-47.09,-17.33,
polymorpha,South America,catalao/go,-47.38,-17.33, Chaves N.B. and Tidon R. (2008)
polymorpha,,Paracatu,-47.08,-17.34,
polymorpha,,Catalão,-47.28,-17.38,
polymorpha,South America,emas/go,-52.53,-18.15, Roque F. and Tidon R. (2008)
polymorpha,South America,corumba,-57.35,-19, Stalker H.D. (1953)
polymorpha,South America,serra do cipo/mg,-43.4,-19, Chaves N.B. and Tidon R. (2008)
polymorpha,,Serra do Cipó,-43.35,-19.16,
polymorpha,South America,serra do cipo,-43.35,-19.17, Tidon-Sklorz R. et al. (1994)
polymorpha,,Serra do Cipó,-43.34,-19.17,
polymorpha,,Serra do Cipó,-43.33,-19.17,
polymorpha,,Serra do Cipó,-43.33,-19.2,
polymorpha,,Serra do Cipó,-43.38,-19.21,
polymorpha,South America,rio doce,-40.3,-19.3, Dobzhansky D. and Brito da Cunha A. (1955)
polymorpha,,Lagoa Santa,-43.55,-19.38,
polymorpha,South America,lagoa santa/mg,-43.55,-19.39, Chaves N.B. and Tidon R. (2008)
polymorpha,South America,paulo de faria,-49.31,-19.55, Penariol L. et al. (2008)
polymorpha,South America,correias/rj,-41.24,-19.56, Sene F.M. et al. (1980)
polymorpha,South America,santa teresa/es,-40.37,-19.56, Sene F.M. et al. (1980)
polymorpha,South America,tainhas,-50,-20, Napp M. and Cordeiro A.R. (1978)
polymorpha,South America,miranda/ms,-56.46,-20.05, Sene F.M. et al. (1980)
polymorpha,South America,miranda/mg,-56.19,-20.1, Vilela C.R. et al. (2002)
polymorpha,South America,campo grande/ms,-54.34,-20.41, Chaves N.B. and Tidon R. (2008)
polymorpha,South America,olimpia,-48.55,-20.43, Belo M. (1979)
polymorpha,South America,sao jose do rio preto,-49.23,-20.49, Ferreira Lourenco M. (1993)
polymorpha,South America,sertaozinho/sp,-47.59,-21.08, Brisson J.A. et al. (2005)
polymorpha,South America,serrana/sp,-47.35,-21.13, Mateus R.P. et al. (2006)
polymorpha,South America,jaboticabal,-48.17,-21.15, Pires D.J. and Belo M. (2005)
polymorpha,South America,novo horizonte,-49.14,-21.29, Torres F.R. and Madi-Ravazzi L. (2006)
polymorpha,South America,pe de gigante,-47.37,-21.37, Brisson J.A. et al. (2005)
polymorpha,South America,pocos de caldas,-46.33,-21.48, Napp M. and Cordeiro A.R. (1978)
polymorpha,South America,morro do ferro,-46.3,-21.5, Napp M. and Cordeiro A.R. (1978)
polymorpha,South America,pirassununga,-47.25,-21.58, da Cunha A.B. (1949)
polymorpha,South America,piracununga,-47.27,-21.59, Heed W.B. (1963)
polymorpha,South America,sao paulo estado,-48,-22, Tidon-Sklorz R. and Sene F.M. (1999)
polymorpha,South America,araras,-47,-22, da Cunha A.B. (1946)
polymorpha,South America,pinheiral,-44,-22, da Cunha A.B. (1951)
polymorpha,South America,sao carlos/sp,-45.53,-22.03, Sene F.M. et al. (1980)
polymorpha,South America,bela vista/ms,-56.32,-22.05, Sene F.M. et al. (1980)
polymorpha,South America,caracol/ms,-56.47,-22.13, Chaves N.B. and Tidon R. (2008)
polymorpha,South America,itirapina,-47.48,-22.16, Mateus R.P. et al. (2006)
polymorpha,South America,brotas,-47.57,-22.17, Pires D.J. and Belo M. (2005)
polymorpha,South America,mogi-guacu/sp,-47.12,-22.17, Sene F.M. et al. (1980)
polymorpha,South America,serra da bocaina/sp,-45.17,-22.23, da Cunha A.B. (1951)
polymorpha,South America,teresopolis/rj,-43.01,-22.27, Sene F.M. et al. (1980)
polymorpha,South America,santa maria da serra,-48.1,-22.34, Mateus R.P. et al. (2006)
polymorpha,South America,cosmopolis,-47.12,-22.39, da Cunha A.B. (1951)
polymorpha,South America,barreiro rico,-48.05,-22.41, de Medeiros H.F. and Klaczko L.B. (2004)
polymorpha,South America,campos do jordao,-45.33,-22.45, da Cunha A.B. (1946)
polymorpha,South America,rio de janeiro,-43.17,-22.53, da Cunha A.B. (1951)
polymorpha,South America,jacarepagua,-43.22,-22.56, da Cunha A.B. (1946)
polymorpha,South America,furnas/brazil,-43.17,-22.58, Brisson J.A. et al. (2005)
polymorpha,South America,itatiba,-46.51,-22.59, Brisson J.A. et al. (2005)
polymorpha,South America,angra dos reis,-44.17,-22.59, da Cunha A.B. (1949)
polymorpha,South America,mucorca,-47,-23, Pavan C. (1952)
polymorpha,South America,tijuca,-43.2,-23, da Cunha A.B. (1946)
polymorpha,South America,serra do japi,-46.57,-23.14, de Medeiros H.F. and Klaczko L.B. (2004)
polymorpha,South America,cabreuva/sp,-47.1,-23.15, Sene F.M. et al. (1980)
polymorpha,South America,itu/sp,-47.18,-23.16, Sene F.M. et al. (1980)
polymorpha,South America,cantareira,-46.38,-23.27, Burla H. et al. (1950)
polymorpha,South America,jaguari/rs,-54.42,-23.3, Sene F.M. et al. (1980)
polymorpha,South America,vila atlantica,-46.3,-23.3, da Cunha A.B. (1946)
polymorpha,South America,mogi das cruzes,-46.1,-23.3, da Cunha A.B. (1946)
polymorpha,South America,sao paulo,-46.39,-23.33, Brisson J.A. et al. (2006)
polymorpha,South America,rio ligeiro/pa,-52.31,-23.37, Sene F.M. et al. (1980)
polymorpha,South America,rio ivai/pa,-52.22,-23.4, Sene F.M. et al. (1980)
polymorpha,South America,morungava,-50,-23.4, Petersen J.A. (1960)
polymorpha,South America,boraceia/sp,-43.5,-23.4, Brisson J.A. et al. (2005)
polymorpha,South America,cianorte,-52.31,-23.42, Brisson J.A. et al. (2005)
polymorpha,South America,bertioga,-45.5,-23.45, da Cunha A.B. (1946)
polymorpha,South America,ilha bela,-45.24,-23.47, de Medeiros H.F. and Klaczko L.B. (2004)
polymorpha,South America,sao sebastiao/sp,-45.26,-23.48, da Cunha A.B. (1951)
polymorpha,South America,guaratuba/sp,-45.53,-23.5, Sene F.M. et al. (1980)
polymorpha,South America,cebimar,-45.3,-23.5, Brisson J.A. et al. (2005)
polymorpha,South America,itapeva,-48.59,-23.59, Heed W.B. and Russell J.S. (1971)
polymorpha,South America,icem,-48,-24, da Cunha A.B. (1949)
polymorpha,South America,senges,-49.23,-24.07, Mateus R.P. et al. (2006)
polymorpha,South America,itanhaem,-46.47,-24.09, da Cunha A.B. (1949)
polymorpha,South America,peruibe/sp,-46.55,-24.14, Bizzo N.M.V. and Sene F.M. (1982)
polymorpha,South America,canyon guartela,-50.18,-24.32, Mateus R.P. et al. (2006)
polymorpha,South America,eldorado do sul,-48.08,-24.33, Rohde C. and Valente V.L.S. (1996)
polymorpha,South America,iporanga,-48.38,-24.34, da Cunha A.B. (1951)
polymorpha,South America,salto santa rosa,-50.33,-24.37, Mateus R.P. et al. (2006)
polymorpha,South America,lambedor,-50,-25, da Cunha A.B. (1949)
polymorpha,South America,ponta grossa/rgs,-50.09,-25.07, Pavan C. (1952)
polymorpha,South America,morretes,-48.49,-25.29, Pavan C. (1952)
polymorpha,South America,iguacu,-54.22,-25.35, Napp M. and Cordeiro A.R. (1978)
polymorpha,South America,joinville/sc,-48.51,-26.18, Doge J.S. et al. (2008)
polymorpha,South America,barra velha/sc,-48.42,-26.37, Sene F.M. et al. (1980)
polymorpha,South America,tucuman,-65.15,-26.47, Pavan C. (1952)
polymorpha,South America,arvoredo,-52.41,-27.14, de Toni D.C. et al. (2007)
polymorpha,South America,arvoredo island,-48.21,-27.17, De Toni D.C. et al. (2001)
polymorpha,South America,puerto tirol,-59.1,-27.18, Vilela C.R. et al. (2002)
polymorpha,South America,lagoa da conceicao,-48.21,-27.18, de Toni D.C. and Hofmann P.R.P. (1995)
polymorpha,South America,ratones,-48.3,-27.27, Schmitz H.J. et al. (2007)
polymorpha,South America,resistencia,-59,-27.28, Vilela C.R. et al. (2002)
polymorpha,South America,ilha de ratones grande,-48.37,-27.29, Machado M.X. et al. (2001)
polymorpha,South America,ratones pequeno,-48.34,-27.29, Brisson J.A. et al. (2005)
polymorpha,South America,ratones pequeno island,-48.34,-27.3, De Toni D.C. et al. (2001)
polymorpha,South America,florianopolis/sc,-48.32,-27.35, Gottschalk M.S. et al. (2007)
polymorpha,South America,florianopolis,-48.31,-27.35, Brisson J.A. et al. (2005)
polymorpha,South America,morro da lagoa,-48.29,-27.35, Brisson J.A. et al. (2005)
