species,region,site,longitude,latitude,ref
cardinoides,South America,bom jesus/rn,-35.37,-5.58,Sene F.M. et al. (1980)
cardinoides,South America,sao jose de espinharas, -36.00,-6.56,Sene F.M. et al. (1980)
cardinoides,South America,junco do serido/pb,-36.43,-7.00 ,Sene F.M. et al. (1980)
cardinoides,South America,carolina/brazil, -47.28,-7.20,Pavan C. (1952)
cardinoides,South America,carolina/ma,-47.25,-7.20 ,Chaves N.B. and Tidon R. (2008)
cardinoides,South America,cruzeiro do sul,-72.39,-7.40 ,Pavan C. (1952)
cardinoides,South America,porto velho, -63.54,-8.45,Pavan C. (1952)
cardinoides,South America,peru,-75.00,-10.00,Pilares G.L. and Suyo M.P. (1982)
cardinoides,South America,"    brazil,., ",    -50.00, -10.00 ,Mourao C.A. et al. (1965)
cardinoides,South America,palmares, -67.43,-10.22,Pavan C. (1952)
cardinoides,South America,xique-xique/ba, -42.40,-10.42 ,Sene F.M. et al. (1980)
cardinoides,South America,la merced/peru,-75.16,-11.03 ,Pilares G. L.V. and vasquez E. J.A. (1977)
cardinoides,South America,irece/ba, -41.47,-11.20,Sene F.M. et al. (1980)
cardinoides,South America,cafarnaum/ba,-41.20,-11.30 ,Sene F.M. et al. (1980)
cardinoides,South America,mira serra/ba, -40.53,-11.46,Sene F.M. et al. (1980)
cardinoides,South America,piritiba/ba,-40.45,-11.47,Sene F.M. et al. (1980)
cardinoides,South America,barreiras/ba, -45.05 ,-12.07 ,Sene F.M. et al. (1980)
cardinoides,South America,ibotirama/ba,-43.07,-12.18,Sene F.M. et al. (1980)
cardinoides,South America,cachoeira/monteiros/ba,-51.38,-12.25,Sene F.M. et al. (1980)
cardinoides,South America,milagres/ba, -39.53,-12.51 ,Sene F.M. et al. (1980)
cardinoides,South America,tangara da serra/mg,-57.03,-14.04 ,Blauth M.L. and Gottschalk M.S. (2007)
cardinoides,South America,fazenda trijuncao/ba,-45.58,-14.49,Roque F. and Tidon R. (2008)
cardinoides,South America,sobradinho/df,-47.47,-15.37,Roque F. et al. (2009)
cardinoides,South America,braganca/brazil, -48.00,-15.40,Pavan C. (1952)
cardinoides,South America,Centro Olímpico UnB ,-47.5,-15.46,Figueiredo (dissertação
cardinoides,South America,brasilia/df,-47.59,-15.47,Chaves N.B. and Tidon R. (2008)
cardinoides,,brasilia/df,-47.57,-15.47,Ferreira & Tidon
cardinoides,South America,Brasília,-47.47,-15.47,Vilela et al.
cardinoides,South America,RECOR ,-47.52,-15.55,Roque & Tidon
cardinoides,South America,recor reserve,-47.53,-15.56,Tidon R. (2006)
cardinoides,South America,RECOR ,-47.52,-15.56,Figueiredo (dissertação
cardinoides,South America,catuni,-43.19,-16.15,da Cunha A.B. et al. (1953)
cardinoides,South America,anapolis, -48.58,-16.19,Pavan C. (1952)
cardinoides,South America,santa cruz/bolivia, -63.14,-17.45,Heed W.B. and Russell J.S. (1971)
cardinoides,South America,arica/chile,-70.20,-18.30,Brncic D. (1987)
cardinoides,South America,serra do cipo/mg,-43.40,-19.00,Chaves N.B. and Tidon R. (2008)
cardinoides,South America,serra do cipo,-43.35,-19.17 ,Tidon-Sklorz R. et al. (1994)
cardinoides,South America,Serra do Cipó,-43.36,-19.18,Tidon
cardinoides,South America,serra do cipo,-43.33,-19.2,Tidon-Sklorz et al.
cardinoides,South America,serra do cipo,-43.38,-19.21,Vilela & Mori
cardinoides,South America,rio doce,-40.30,-19.30,Dobzhansky D. and Brito da Cunha A. (1955)
cardinoides,South America,lagoa santa/mg, -43.55,-19.39,Sene F.M. et al. (1980)
cardinoides,South America,correias/rj,-41.24,-19.56,Sene F.M. et al. (1980)
cardinoides,South America,correias/rj,-41.24,-19.56 ,Vilela C.R. et al. (2002)
cardinoides,South America,santa teresa/es,-40.37,-19.56,Sene F.M. et al. (1980)
cardinoides,South America,teffe,-50.00,-20.00 ,Heed W.B. and Russell J.S. (1971)
cardinoides,South America,miranda/ms,-56.46,-20.05,Chaves N.B. and Tidon R. (2008)
cardinoides,South America,miranda/mg,-56.19,-20.10,Vilela C.R. et al. (2002)
cardinoides,South America,esmeralda, -51.02,-20.18,Saavedra C.C.R. et al. (1995)
cardinoides,South America,campo grande/ms,-54.34,-20.41,Chaves N.B. and Tidon R. (2008)
